,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
82,20160927,15.2,67.38,27.75,15.86,21.73,4.21,28.87,58.35,20.99,5.28,12.46,5.83,15.86,18.04,4.18,17.78,34.09,9.39,44.91,49.01,24.71,9.53,21.24,19.16,21.61,18.71,9.43,36.97,37.98,105.51
83,20160926,14.43,65.09,27.46,15.63,21.77,4.44,28.87,57.68,20.99,5.15,12.33,5.45,15.76,17.97,4.15,17.55,33.47,9.42,45.1,48.68,24.45,9.53,20.66,19.46,21.68,18.58,9.41,36.01,36.94,106.26
84,20160923,14.52,62.6,27.66,15.63,21.66,4.44,28.63,57.76,20.56,5.13,12.38,5.42,15.74,18.15,4.29,17.55,33.12,9.42,45.16,49.4,24.18,9.66,21.16,18.98,21.61,18.41,9.5,35.77,36.65,105.51
85,20160922,14.52,62.5,27.61,15.73,21.69,4.52,28.15,57.09,20.02,5.14,12.33,5.66,15.84,18.15,4.34,17.6,32.73,9.42,45.16,49.73,24.18,9.73,21.41,18.6,20.98,18.62,9.6,35.92,36.36,103.4
86,20160921,14.57,60.3,27.61,15.73,21.39,4.39,27.48,56.92,19.87,5.13,12.12,5.74,15.64,18.41,4.32,17.41,32.43,9.39,44.84,48.68,23.52,9.66,21.49,18.0,21.47,18.62,9.52,35.87,36.12,103.85
87,20160920,14.48,58.67,27.9,15.77,21.54,4.11,27.57,55.57,19.62,5.07,12.17,5.55,15.59,18.37,4.29,17.6,32.16,9.42,44.65,48.14,23.12,9.53,20.95,18.0,22.8,18.37,9.79,35.87,35.21,102.5
88,20160919,14.3,58.67,28.38,15.82,21.5,3.84,27.36,53.89,19.55,5.01,12.19,5.81,15.64,17.97,4.27,17.22,31.9,9.42,43.25,47.24,23.03,9.79,21.16,18.0,23.08,18.28,9.87,35.1,34.96,102.5
89,20160916,14.34,55.99,28.33,15.68,20.78,3.59,27.18,53.21,19.8,4.93,12.04,6.24,15.26,18.37,4.14,16.15,30.77,9.42,41.34,48.36,22.46,9.66,20.83,17.44,22.2,17.73,9.4,33.52,35.54,104.0
90,20160915,14.39,58.2,27.94,15.68,21.24,3.85,27.06,53.04,19.44,5.3,11.96,6.7,15.16,18.74,4.45,16.19,31.73,9.49,41.34,47.74,23.29,9.26,20.83,17.36,23.85,17.73,10.1,34.48,34.05,107.77
91,20160914,14.39,58.39,27.99,15.54,21.43,4.13,27.48,53.47,19.69,5.2,12.1,6.35,14.95,18.93,4.5,16.15,31.73,9.46,42.49,48.97,23.45,9.92,21.0,17.53,23.22,17.9,10.1,34.96,32.59,108.52
92,20160913,14.66,59.06,28.09,15.86,21.46,4.42,27.3,53.47,20.05,5.2,12.21,6.4,14.99,19.02,4.6,16.66,31.94,9.49,43.57,49.94,23.19,9.73,21.12,17.57,23.01,17.98,9.99,34.48,33.13,109.2
93,20160912,14.75,58.39,27.66,15.96,21.39,4.39,27.18,53.13,20.05,5.4,12.36,6.5,14.75,18.45,4.7,16.99,31.98,9.52,43.89,48.68,23.12,9.73,21.33,17.57,23.92,18.15,10.0,35.87,33.6,106.41
94,20160909,14.75,57.43,27.99,16.1,21.77,4.56,27.6,54.31,20.42,5.6,12.71,6.7,15.19,19.15,4.7,17.04,32.06,9.52,43.89,50.48,23.19,9.86,22.15,17.48,23.71,18.41,9.9,37.07,32.92,107.77
95,20160908,14.75,57.43,28.18,15.91,21.92,4.56,27.54,54.31,20.63,5.7,12.33,6.6,15.4,19.24,4.8,16.85,32.4,9.52,43.57,51.93,23.26,9.92,22.07,17.48,24.19,18.15,9.9,35.12,32.25,110.79
96,20160907,14.57,57.43,27.22,15.91,21.92,4.56,26.64,53.04,20.2,5.7,12.17,6.8,15.09,19.11,4.8,17.04,33.41,9.46,43.25,51.93,22.93,9.79,22.07,17.66,24.4,18.15,10.0,35.12,32.05,110.03
97,20160906,14.57,56.95,27.32,15.82,21.92,4.56,26.7,53.89,20.05,5.8,12.17,6.9,14.51,19.28,4.9,16.66,33.49,9.39,43.25,52.65,22.79,9.86,22.4,17.66,24.12,17.98,10.2,35.12,32.32,113.05
98,20160905,14.84,57.43,27.42,15.82,22.07,4.64,26.88,53.04,19.84,5.6,12.12,6.6,14.4,19.68,4.8,16.47,33.41,9.39,42.62,52.29,22.66,9.86,21.57,17.06,24.06,17.98,10.0,35.12,32.32,116.06
99,20160901,14.84,58.87,27.22,15.91,22.07,4.56,26.88,53.47,20.2,6.0,12.21,7.0,14.54,19.24,4.9,16.66,32.48,9.46,42.62,51.57,23.06,9.79,21.24,17.23,24.54,18.24,10.2,36.51,32.38,116.06
100,20160831,14.84,59.34,27.51,16.1,22.07,4.64,26.52,53.89,20.42,6.3,12.17,7.3,14.68,18.98,5.0,16.66,32.4,9.46,43.89,51.93,23.52,9.99,20.91,17.23,24.54,18.24,10.4,37.55,32.45,117.57
101,20160830,14.93,59.82,27.13,16.1,21.69,4.73,25.73,54.31,20.05,6.3,12.17,7.2,14.37,18.93,4.8,16.38,31.22,9.46,44.53,51.93,23.65,9.53,21.08,17.14,24.26,17.98,10.5,38.59,32.45,114.55
102,20160829,14.93,58.39,26.45,16.0,21.77,4.73,25.73,53.04,19.98,6.3,12.08,7.6,14.23,18.15,4.8,16.19,31.56,9.46,42.62,49.4,23.06,9.53,21.0,17.14,24.61,18.24,10.5,39.99,32.38,113.8
103,20160826,14.84,57.43,26.93,16.1,21.85,4.81,25.97,53.47,20.63,6.4,12.33,7.5,14.61,18.5,4.9,17.04,31.89,9.52,40.07,51.57,23.12,9.59,21.74,17.4,24.89,18.5,10.5,39.99,32.38,110.03
