,DTYYYYMMDD,BVH,CII,CTG,DPM,EIB,FLC,FPT,GMD,HAG,HCM,HHS,HPG,HSG,HVG,ITA,KBC,KDC,MBB,MSN,NT2,PPC,PVD,PVT,REE,SBT,SSI,STB,VCB,VIC,VNM
112,20160205,47.12,21.12,15.91,21.21,10.8,5.5,23.55,18.73,7.8,11.38,8.83,7.81,7.68,10.5,5.2,11.14,18.31,9.39,46.75,15.69,10.0,18.43,7.02,18.22,17.69,17.9,11.2,27.89,28.32,75.01
113,20160204,46.93,21.21,15.91,21.28,10.7,5.42,23.34,18.54,7.7,11.22,8.83,7.81,7.68,10.3,5.2,11.05,18.23,9.27,46.75,15.51,10.06,18.6,6.88,18.08,17.41,17.56,11.2,27.82,28.57,73.8
114,20160203,46.56,20.93,15.73,21.13,10.6,5.42,23.39,18.5,7.6,11.3,8.91,7.75,7.57,10.1,5.2,10.95,18.15,9.14,45.8,15.45,10.06,18.19,6.8,18.08,16.99,17.39,11.1,27.54,28.57,73.19
115,20160202,47.03,21.12,15.82,20.77,10.5,5.42,23.19,18.45,8.0,11.14,8.83,7.75,7.54,10.8,5.2,10.95,17.66,9.2,44.84,15.57,10.11,18.27,6.95,18.15,16.57,17.3,11.1,28.09,28.57,71.98
116,20160201,47.22,21.12,15.82,20.84,10.3,5.5,23.39,18.54,8.2,11.26,8.83,7.72,7.6,11.3,5.2,10.95,17.66,9.2,45.48,15.63,10.29,19.09,7.16,18.01,17.48,17.3,11.2,28.3,28.57,71.98
117,20160129,48.16,21.02,15.91,20.77,10.5,5.59,23.29,18.41,8.2,11.34,8.91,7.95,7.82,11.0,5.2,11.05,17.99,9.2,46.12,15.75,10.06,19.01,7.31,18.08,18.74,17.47,11.3,28.79,28.93,70.17
118,20160128,46.84,20.84,15.91,20.41,10.1,5.5,23.09,18.41,8.3,11.26,9.0,7.66,7.76,10.3,5.1,10.76,18.15,9.27,46.43,15.63,9.65,17.77,6.95,17.58,18.95,17.3,11.3,28.16,29.36,70.17
119,20160127,47.22,21.02,16.19,20.48,10.3,5.59,23.24,18.54,8.8,11.42,9.09,7.75,7.68,9.8,5.2,10.86,18.31,9.07,46.75,15.8,9.83,17.77,6.95,17.72,18.88,17.47,11.2,28.16,28.87,70.77
120,20160126,46.27,20.84,16.1,20.12,10.5,5.42,23.04,18.27,8.9,11.22,8.74,7.63,7.32,9.6,5.0,10.58,17.66,9.01,46.75,15.75,9.88,17.52,6.66,17.65,17.69,17.3,11.1,28.23,29.17,69.56
121,20160125,47.22,21.31,15.91,20.41,10.1,5.59,23.65,18.68,8.4,11.54,9.0,7.86,7.35,9.0,5.1,11.05,18.23,9.07,47.07,16.1,9.88,17.19,6.88,17.51,17.97,17.81,11.6,29.0,29.36,71.38
