,DTYYYYMMDD,BID,BVH,CTD,CTG,DPM,EIB,FPT,GAS,GMD,HDB,HPG,MBB,MSN,MWG,NVL,PNJ,REE,ROS,SAB,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
68,20191021,38.65,69.84,85.7,21.25,14.65,16.6,56.5,101.2,25.02,28.0,21.2,22.65,75.0,122.9,60.3,82.0,36.7,25.6,240.5,18.65,20.8,10.95,23.9,83.46,86.5,116.9,140.0,132.47,22.0,31.9
69,20191018,39.43,70.43,87.3,21.6,14.95,16.55,57.1,101.0,24.93,27.95,21.4,23.0,76.0,122.9,60.1,82.4,36.75,25.45,247.47,18.7,21.1,10.8,24.4,84.25,87.0,117.0,139.1,131.38,22.4,31.9
70,20191017,40.12,70.33,88.0,21.9,14.8,16.35,56.7,101.0,24.83,27.9,21.4,23.2,77.0,122.9,60.3,82.7,36.5,25.5,248.36,18.7,21.35,10.9,24.4,84.45,86.5,117.0,138.5,129.9,22.5,31.85
71,20191016,40.47,70.82,89.0,21.9,15.1,16.65,57.5,101.2,24.93,28.2,21.3,23.3,77.8,125.1,62.0,81.9,37.05,25.55,251.3,18.75,21.55,11.05,24.45,85.34,86.4,118.0,139.0,129.3,22.55,31.85
72,20191015,40.71,70.63,89.8,21.7,15.3,16.7,57.4,101.2,24.93,28.3,21.35,23.35,78.2,125.5,62.1,80.0,37.7,25.65,252.09,18.8,21.6,11.05,24.25,84.45,86.4,118.4,139.6,127.22,22.55,31.85
73,20191014,40.47,71.02,89.8,21.7,14.6,16.8,57.7,102.0,25.12,28.4,21.45,23.45,76.6,124.7,62.0,80.0,38.0,25.75,253.75,18.7,21.75,11.1,23.9,84.25,87.9,118.0,139.4,127.52,22.3,31.7
74,20191011,40.12,71.12,90.0,21.15,14.45,16.6,56.5,102.3,25.26,28.0,21.5,22.75,77.0,123.4,61.9,80.0,37.8,25.75,252.97,18.0,21.3,11.0,23.6,84.55,88.4,118.0,139.4,126.92,22.1,32.35
75,20191010,40.32,70.53,89.8,21.15,14.45,16.7,56.4,101.1,25.02,27.65,21.5,22.75,77.0,123.6,61.3,79.1,37.8,25.65,250.61,17.95,21.3,10.8,23.65,83.85,88.5,116.9,137.5,125.93,22.2,32.4
76,20191009,40.56,70.23,90.0,21.3,14.75,16.7,56.4,100.3,24.93,27.5,21.9,22.9,77.0,123.6,62.3,79.1,38.5,25.65,250.61,17.9,21.3,10.9,23.65,83.75,88.5,117.0,137.4,125.93,22.1,32.0
77,20191008,40.42,70.92,90.6,20.75,14.6,16.8,56.1,99.9,25.12,27.6,21.9,22.7,76.9,123.0,62.6,79.7,38.0,25.85,253.75,17.9,21.4,11.0,23.55,84.35,88.6,117.1,137.4,127.91,22.0,31.25
78,20191007,39.73,69.74,91.2,20.55,14.2,16.9,55.5,100.7,25.49,27.4,21.3,22.4,76.5,121.0,62.5,79.0,37.0,26.0,255.23,17.8,21.1,10.5,23.15,82.07,89.0,117.0,137.4,128.01,21.75,31.5
79,20191004,39.83,71.81,91.2,20.6,14.15,16.9,56.8,100.5,25.92,27.5,21.35,22.65,77.4,123.0,63.6,80.3,37.4,26.0,253.26,17.75,21.6,10.4,23.6,82.27,89.2,118.0,137.6,127.52,22.3,31.9
80,20191003,40.56,73.49,92.6,21.0,13.45,16.8,57.2,102.0,26.15,27.8,21.55,22.95,78.0,125.1,63.7,80.9,38.6,25.95,257.19,17.75,22.4,10.5,23.8,81.28,89.3,118.0,137.3,127.91,22.6,32.0
81,20191002,39.53,73.78,93.0,21.0,13.3,16.6,57.2,103.5,25.87,28.1,21.75,23.0,77.0,125.2,63.5,80.6,38.05,26.2,260.04,17.85,22.4,10.4,23.75,81.28,89.0,118.0,137.6,125.93,22.6,32.0
82,20191001,39.34,74.67,94.0,21.3,13.55,16.65,58.5,106.2,25.97,28.25,21.9,23.05,78.8,127.5,63.6,79.5,39.2,26.2,257.19,17.8,22.16,10.5,23.75,82.66,89.2,119.9,137.5,126.92,22.35,32.7
83,20190930,38.75,73.78,95.0,21.15,13.35,16.5,57.7,106.3,25.87,27.7,21.95,22.8,78.5,126.1,63.8,80.4,38.15,26.4,258.76,17.85,22.02,10.55,23.35,81.38,89.3,119.8,137.7,128.61,22.05,33.1
84,20190927,39.58,72.3,95.4,21.15,13.55,16.5,58.5,105.0,26.15,26.65,22.15,22.7,79.4,128.0,63.0,81.1,39.0,26.4,261.61,17.95,22.21,10.65,23.2,82.17,89.3,119.8,136.6,129.0,22.15,33.25
85,20190926,39.48,71.32,96.3,21.15,13.6,16.4,57.7,104.0,26.34,26.5,22.25,22.6,78.5,126.0,62.2,80.7,39.65,26.6,258.66,18.0,21.68,10.7,23.1,80.29,88.7,119.0,136.0,128.9,21.65,32.75
86,20190925,39.24,71.12,96.0,20.8,13.05,16.7,57.4,102.4,26.39,26.45,21.9,22.15,79.0,125.5,62.0,82.1,39.5,26.7,258.17,17.95,20.73,10.6,22.65,79.99,89.5,119.7,136.0,125.33,21.4,33.5
87,20190924,38.79,72.2,93.77,20.75,13.05,16.6,56.2,103.5,26.11,26.25,22.15,22.15,79.0,122.0,61.5,83.0,38.15,27.0,258.17,17.95,20.73,10.5,22.6,79.89,89.5,120.1,137.6,125.83,21.35,33.8
88,20190923,38.99,72.1,96.0,21.0,13.15,16.7,56.5,103.5,25.87,26.4,22.0,22.05,80.0,124.0,61.6,83.5,38.0,27.0,260.72,17.9,20.44,10.55,22.65,78.3,89.5,119.0,137.6,123.45,21.4,33.7
89,20190920,39.34,71.02,95.13,21.1,13.3,16.8,58.2,102.8,25.92,26.35,22.65,22.05,80.2,126.5,61.6,83.8,38.8,26.8,262.1,17.95,20.53,10.35,23.15,80.29,89.6,119.4,138.0,121.07,21.4,33.95
90,20190919,40.12,72.7,94.07,21.25,13.15,16.8,57.8,103.8,25.78,26.35,22.95,22.0,80.2,125.2,63.2,82.7,37.2,26.8,260.23,17.85,20.82,10.55,22.95,80.78,90.3,121.5,139.5,122.56,21.45,34.1
91,20190918,40.47,72.7,94.16,20.8,13.2,16.45,56.4,104.0,25.82,26.1,23.0,21.85,80.9,122.0,63.5,82.4,37.2,26.9,260.43,17.9,20.68,10.2,22.6,79.89,90.4,122.2,139.7,122.66,21.1,33.95
92,20190917,40.32,72.3,94.07,20.75,13.0,16.7,57.6,106.9,25.59,26.2,22.7,21.57,79.5,123.4,64.0,82.0,36.7,26.7,261.02,18.0,20.73,10.2,22.6,80.38,90.3,122.8,140.3,121.47,20.6,34.2
93,20190916,39.34,72.8,93.1,20.75,13.05,16.8,57.7,103.4,25.59,26.3,22.65,21.67,77.8,123.5,61.8,82.3,36.6,27.0,259.15,17.95,20.53,10.35,22.6,80.29,88.5,122.8,140.5,120.48,20.7,34.0
94,20190913,39.19,73.29,92.61,20.85,13.0,16.8,56.8,101.0,25.59,26.0,22.6,21.57,76.5,122.4,61.8,82.0,37.1,26.55,259.15,17.5,20.44,10.35,22.65,81.18,88.0,122.4,138.2,119.08,20.7,33.95
95,20190912,38.01,72.89,91.74,20.15,12.95,16.8,56.5,99.3,25.59,25.7,22.55,21.39,76.8,116.8,61.7,80.4,37.15,26.7,256.41,17.1,19.96,10.15,21.95,78.8,86.9,121.5,137.0,118.98,20.5,33.95
96,20190911,37.57,71.22,91.64,19.8,12.75,16.8,54.1,98.7,25.12,25.4,22.05,20.97,78.0,115.1,61.7,79.9,36.1,27.3,257.68,16.85,19.86,10.05,21.75,77.51,86.3,121.5,133.6,119.08,20.1,33.95
97,20190910,37.66,71.32,93.1,19.75,13.2,16.85,54.0,99.3,25.35,25.4,21.3,20.88,76.1,114.9,61.8,78.1,35.0,28.0,258.17,16.85,19.82,10.05,21.45,77.01,88.0,122.0,133.3,120.64,20.1,33.7
98,20190909,37.47,73.98,94.16,19.95,13.35,17.0,53.8,100.1,26.25,25.5,21.2,20.93,74.0,116.1,61.3,80.4,35.25,27.55,261.12,16.85,20.01,10.1,21.7,76.52,88.4,122.6,132.8,121.42,20.15,34.0
99,20190906,37.37,74.47,94.07,19.9,13.35,16.9,52.9,100.8,26.63,25.5,21.4,20.93,74.0,117.0,62.1,81.0,35.55,27.1,261.12,16.85,20.2,10.15,22.2,76.62,88.8,121.1,130.4,119.76,20.35,34.1
100,20190905,37.86,74.97,89.7,19.95,13.5,16.7,52.6,100.5,26.63,25.55,21.7,20.93,74.5,116.2,62.0,81.4,35.3,27.1,261.12,16.8,20.39,10.15,22.2,76.92,89.0,122.0,130.4,118.98,20.25,34.1
101,20190904,37.96,74.97,89.02,20.0,13.65,16.85,53.2,100.4,26.72,25.55,21.6,21.3,75.0,117.9,62.3,82.5,36.0,26.3,257.2,16.65,20.49,10.15,21.7,76.62,89.0,122.4,130.4,120.74,19.8,34.0
102,20190903,38.06,74.47,90.96,19.95,13.65,16.9,53.7,99.8,26.77,25.7,21.65,21.11,74.0,117.6,62.1,82.4,36.9,27.1,265.88,16.5,20.53,10.2,21.4,77.11,87.6,123.0,132.0,120.94,20.3,34.25
103,20190830,38.11,74.97,91.83,20.2,13.7,16.9,53.1,100.6,27.0,26.0,22.2,21.39,75.4,116.9,62.3,82.2,36.65,28.0,266.47,16.5,20.58,10.4,21.5,77.01,87.8,123.5,132.0,119.96,20.3,34.45
104,20190829,37.27,74.97,93.48,20.2,13.45,17.1,52.7,100.5,26.63,26.25,22.15,21.62,75.0,115.0,61.9,81.9,36.35,28.0,266.47,15.9,20.25,10.35,21.35,76.12,86.8,122.5,132.0,119.96,20.4,34.35
105,20190828,36.98,76.15,94.36,20.25,13.25,17.2,52.1,101.3,26.34,26.4,22.25,21.62,74.8,113.8,61.9,81.4,36.4,27.5,265.49,15.9,20.44,10.35,21.4,76.32,86.8,122.0,132.4,116.45,20.3,34.7
