,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
78,20170330,16.91,92.56,57.72,37.6,190.71,17.69,84.1,19.52,28.45,47.81,24.36,9.06,11.3,15.41,22.08,4.18,14.46,36.71,10.88,46.5,60.76,21.49,18.55,25.15,22.45,21.28,11.25,35.63,34.88,108.52
79,20170329,16.58,93.42,58.87,38.2,194.37,17.69,81.16,19.81,28.69,47.28,24.98,9.2,11.6,14.88,21.88,4.17,14.32,36.45,10.7,47.0,60.4,20.85,18.5,25.52,22.23,21.01,11.2,35.72,34.88,106.87
80,20170328,16.58,93.65,58.58,38.8,194.37,17.83,81.03,19.85,28.63,47.11,25.27,9.65,12.45,14.73,21.79,4.2,14.42,36.1,10.74,46.0,59.86,21.12,18.46,25.29,22.45,20.92,11.15,35.82,34.71,106.11
81,20170327,16.91,93.65,58.48,38.55,197.12,18.12,80.36,19.89,28.75,47.46,25.12,9.9,12.55,14.76,21.5,4.24,14.27,36.27,10.81,47.8,59.86,21.46,18.32,24.33,22.45,20.92,11.4,36.2,35.0,107.02
82,20170324,17.06,90.23,58.0,38.0,188.87,18.03,76.68,19.77,28.81,47.9,25.52,9.9,11.75,14.76,21.32,4.2,13.71,36.27,10.95,47.8,60.83,21.8,18.64,24.43,22.27,20.57,11.4,36.4,35.0,106.79
83,20170323,16.63,90.19,57.62,37.5,186.58,17.83,76.74,19.81,28.99,46.76,25.34,10.1,11.75,14.66,21.03,4.05,13.67,36.32,10.77,48.0,60.76,21.73,18.55,24.61,22.36,20.3,11.4,36.63,35.12,105.66
84,20170322,16.58,87.95,56.95,39.5,186.03,17.69,75.76,19.81,27.84,46.58,24.69,9.68,11.0,14.54,21.05,4.05,13.48,34.61,10.77,47.5,61.01,21.06,18.46,23.97,21.73,20.12,10.75,36.11,34.42,102.95
85,20170321,16.58,88.18,57.53,39.0,187.95,17.83,74.84,20.01,28.15,47.81,25.34,9.32,10.45,14.7,21.28,4.06,13.67,34.09,10.77,47.1,62.17,20.69,18.77,24.43,21.82,20.52,10.7,36.4,34.26,102.19
86,20170320,15.96,86.54,58.39,37.6,186.58,17.64,74.96,19.97,28.15,48.16,25.88,9.11,10.25,14.35,21.12,4.04,13.57,33.82,10.53,45.9,61.95,20.82,18.91,25.34,21.77,20.52,10.55,35.96,35.79,100.91
87,20170317,15.91,86.5,56.47,36.75,183.37,17.4,75.82,19.81,27.72,48.34,26.28,9.1,10.3,14.16,20.47,3.98,13.57,32.78,10.14,44.1,61.92,20.38,18.91,25.25,21.77,20.3,10.3,35.44,36.2,100.99
88,20170316,15.58,86.54,56.38,37.45,181.99,17.21,75.76,20.01,27.6,48.87,26.5,8.87,10.05,14.34,20.45,3.98,13.57,32.64,10.14,43.5,61.66,20.38,19.14,25.52,21.77,19.9,10.35,35.53,36.36,100.99
89,20170315,15.68,86.82,56.47,37.1,180.62,17.16,75.21,19.85,27.51,48.34,25.56,8.29,9.41,14.25,20.38,3.96,13.43,32.43,10.14,43.75,62.75,20.18,18.77,25.15,21.77,19.01,10.35,35.39,35.95,100.23
90,20170314,15.63,86.82,56.38,38.0,183.37,17.26,76.13,20.01,27.6,48.34,26.5,8.23,9.25,14.42,20.41,3.98,13.48,32.43,10.25,43.2,62.02,20.11,19.0,25.61,21.77,19.1,10.45,35.49,36.4,98.5
91,20170313,15.72,85.22,56.28,37.6,183.28,17.3,76.31,19.93,27.63,48.08,26.86,8.21,9.19,14.44,20.67,3.98,13.39,32.08,10.28,41.7,61.23,20.25,18.91,24.79,21.82,19.1,10.55,35.49,36.53,97.75
92,20170310,15.77,84.76,56.57,38.15,177.87,17.55,74.29,20.01,27.78,49.04,26.79,8.34,9.35,14.44,21.1,4.22,13.57,32.6,10.07,41.75,60.94,20.18,19.23,24.61,21.86,19.05,10.45,35.92,36.53,97.9
93,20170309,16.01,85.22,56.57,38.8,176.49,17.74,75.39,20.38,27.48,49.92,27.08,8.3,9.28,14.4,21.12,4.21,13.57,31.9,10.18,41.75,60.94,20.11,19.23,23.51,21.86,19.18,10.45,36.2,36.53,98.35
94,20170308,15.82,85.54,56.66,36.6,179.52,17.69,73.73,20.34,27.66,50.8,26.64,8.04,9.11,14.15,21.14,4.16,13.95,31.9,9.86,41.7,61.23,20.15,19.68,23.79,21.86,18.74,10.6,36.11,36.78,98.43
95,20170307,15.72,85.63,56.95,35.85,180.8,17.64,74.59,20.34,27.66,51.15,25.63,8.01,9.18,14.13,21.14,4.1,13.9,32.16,9.76,41.0,60.55,19.95,19.77,23.83,21.91,18.74,10.5,35.92,37.07,97.97
96,20170306,15.82,86.04,56.66,33.55,179.7,17.74,70.55,20.59,27.75,51.15,24.33,8.07,9.29,14.13,20.94,4.33,13.9,32.43,9.76,41.0,59.97,20.18,19.37,23.42,21.91,18.74,10.8,35.72,36.98,98.65
97,20170303,15.63,86.5,56.66,34.0,185.75,17.64,70.55,20.59,27.57,51.5,23.96,8.05,9.05,14.06,21.12,4.35,13.53,32.34,9.65,41.0,59.97,19.95,19.55,22.47,21.86,18.56,10.9,35.92,36.78,97.9
98,20170302,15.29,85.77,55.52,34.0,185.48,17.3,70.48,20.22,27.45,50.98,24.25,7.91,8.69,14.4,21.39,4.43,13.39,32.78,9.72,40.9,60.22,19.98,20.0,22.6,21.86,18.47,10.2,35.34,36.45,97.75
99,20170301,15.53,86.13,55.9,33.7,185.11,17.35,70.42,20.5,27.6,51.77,24.61,8.15,8.75,14.03,21.39,4.49,13.34,32.78,9.76,41.0,60.04,19.95,20.18,22.56,21.82,18.92,10.2,35.63,36.94,98.58
100,20170228,15.68,85.22,56.95,34.65,184.29,17.59,69.93,20.01,27.69,53.0,25.12,8.18,8.91,13.72,21.1,4.49,13.48,32.43,9.79,41.0,60.26,19.91,20.18,22.88,21.82,18.92,10.3,35.82,37.19,99.03
101,20170227,15.91,85.68,56.95,36.72,188.41,17.64,70.55,20.22,28.12,54.4,24.98,8.11,9.1,13.8,21.23,4.43,13.76,32.43,9.86,41.0,60.8,21.02,20.59,23.01,21.86,19.01,10.45,36.59,37.98,99.33
102,20170224,15.87,85.86,57.05,34.9,186.12,17.4,71.1,19.97,27.78,54.23,24.54,7.58,8.6,13.87,21.14,4.26,13.43,33.12,9.9,41.7,59.86,21.36,20.96,22.71,21.95,19.01,10.3,35.87,37.4,99.41
103,20170223,15.87,85.22,57.91,37.5,187.04,17.26,71.1,20.13,27.78,55.37,24.47,8.14,9.15,13.92,20.92,3.99,13.71,34.52,9.93,42.2,59.61,21.39,20.77,22.88,22.0,19.27,11.05,36.01,37.4,98.2
