,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KDC,MBB,MSN,MWG,NT2,NVL,PLX,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VJC,VNM
107,20180209,31.76,68.32,69.72,34.1,169.93,24.5,93.54,19.46,39.82,90.08,28.23,32.03,17.66,38.04,21.89,82.2,81.45,22.84,61.07,66.93,33.9,119.58,216.32,15.64,29.34,14.95,59.59,64.63,149.9,148.97
108,20180208,31.66,69.33,71.47,34.0,166.18,24.5,91.61,20.18,39.96,96.78,28.09,32.8,17.93,38.49,21.44,85.0,86.32,23.58,61.07,70.59,34.18,127.92,216.32,15.91,29.34,14.9,61.55,65.29,149.09,153.73
109,20180207,30.68,69.84,69.43,34.45,169.37,25.75,89.78,21.08,40.97,102.37,28.92,32.69,18.95,38.58,22.12,83.0,87.63,24.31,61.6,73.15,34.91,135.08,223.82,15.54,30.64,15.75,62.14,66.94,149.17,156.22
110,20180206,28.71,67.47,67.67,34.45,164.3,24.35,84.0,20.99,39.24,97.53,28.23,31.87,18.36,37.14,21.06,86.0,86.54,24.31,62.44,69.58,34.18,126.25,223.72,16.36,28.97,15.4,60.67,67.02,139.45,154.35
111,20180205,30.83,67.73,72.74,37.0,176.6,26.05,86.79,20.99,41.34,104.79,30.04,31.32,18.75,38.95,21.97,84.7,89.81,24.54,62.29,74.8,36.23,135.75,229.68,17.59,30.32,15.15,61.36,67.02,149.9,158.41
112,20180202,33.14,72.62,78.19,37.6,174.63,28.0,91.81,22.34,44.16,112.61,30.48,33.57,20.16,40.21,23.48,91.0,92.07,24.65,62.21,80.39,38.92,135.0,237.47,18.91,32.59,16.25,65.95,72.07,157.6,161.45
113,20180201,33.14,72.03,76.44,37.0,182.14,27.25,93.83,21.48,44.59,113.72,30.91,33.52,20.04,40.21,23.25,92.1,97.59,24.31,61.37,81.12,38.87,137.17,235.55,18.5,32.08,15.7,65.17,71.57,155.57,158.33
114,20180131,33.63,71.69,79.85,37.5,188.71,27.2,95.95,21.89,45.54,115.96,31.78,34.23,20.39,40.31,24.16,92.1,91.27,24.39,61.3,81.03,38.87,145.33,237.47,18.59,31.67,16.25,65.17,71.07,156.38,158.72
115,20180130,35.4,72.87,83.45,39.0,192.84,28.05,95.86,23.41,46.33,108.42,31.85,33.68,20.32,40.31,24.85,90.8,91.56,25.05,61.07,81.94,37.82,135.83,236.51,18.5,33.89,17.1,65.56,70.25,158.01,159.5
116,20180129,34.02,71.78,79.07,38.8,180.26,28.3,98.17,23.32,43.65,107.86,30.26,33.79,20.47,40.31,25.07,94.5,90.03,23.95,61.83,84.05,37.73,137.92,235.55,18.77,33.99,16.75,66.54,70.66,153.55,161.06
117,20180126,31.96,73.38,81.31,38.4,179.32,27.3,98.17,22.96,44.02,108.32,31.13,35.11,19.89,40.03,23.86,97.5,92.5,25.42,64.5,85.15,38.1,136.67,242.37,19.95,32.78,15.7,67.62,70.66,153.95,165.19
118,20180125,29.89,74.98,77.9,37.8,186.83,26.75,95.67,21.98,44.23,105.44,31.64,33.79,19.69,39.85,22.5,97.2,93.81,24.17,64.58,85.24,38.32,135.83,248.04,20.36,32.87,15.4,66.25,70.33,161.65,161.45
119,20180122,27.98,74.81,76.63,37.35,193.4,25.75,98.37,20.72,44.09,98.55,32.0,34.95,20.35,39.63,21.21,92.5,93.45,25.75,63.82,85.24,38.1,140.83,250.93,20.64,31.76,15.1,61.94,70.25,151.12,165.03
