DTYYYYMMDD,CTG,FPT,HPG,MBB,MSN,REE,SBT,SSI,STB,VCB,VIC,VNM
2018-03-07,31500,45030.11,33571.4286,24996.7537,91400,35603.9326,16171.1181,35471.044,15050,68108.7545,81487.6033,160730.6495
2018-03-08,31700,45030.11,33956.044,25034.6275,94000,35888.764,16035.6059,35424.6159,15200,68010.8971,85289.2562,162992.2646
2018-03-09,32400,44595.736,33791.2088,25375.4924,94100,36648.3146,16035.6059,36028.1808,15400,69478.7582,85537.1901,162212.3973
2018-03-12,33450,44450.9446,34065.9341,25602.7356,95200,37882.5843,15358.0451,35656.7562,15950,70457.3323,82644.6281,160652.6628
2018-03-13,35700,43509.8008,33791.2088,26284.4652,95000,37882.5843,16396.9717,36678.1737,16100,70457.3323,84793.3884,163772.1319
2018-03-14,35550,44016.5706,33956.044,26360.213,94000,38737.0787,17435.8983,36399.6053,16050,72218.7656,84710.7438,166111.7338
2018-03-15,36600,43871.7792,33296.7033,27231.3119,93000,39021.9101,17481.069,36446.0334,16150,72218.7656,82231.405,163928.1054
2018-03-16,36700,43509.8008,33076.9231,27269.1858,92000,38167.4157,16622.8253,38071.0158,16300,73099.4822,82396.6942,166891.6011
2018-03-19,36300,43799.3835,34670.3297,27193.4381,94300,37407.8652,16171.1181,38071.0158,16050,72708.0526,86280.9917,165331.8665
2018-03-20,36000,44378.5489,33791.2088,27572.1768,100500,37312.9213,16713.1668,38117.4438,16000,72414.4804,86115.7025,162992.2646
2018-03-21,36200,44161.3619,34615.3846,27875.1677,102400,37028.0899,16758.3375,38024.5877,16250,71925.1934,89256.1983,162992.2646
2018-03-22,35800,43509.8008,34505.4945,27269.1858,103600,36743.2584,16442.1424,37421.0228,16000,70457.3323,89256.1983,162992.2646
2018-03-23,34950,42423.8657,33736.2637,26890.4471,102000,35793.8202,15719.4109,36771.0299,15750,68402.3268,90495.8678,161432.5301
2018-03-26,35800,42858.2398,32362.6374,27117.6903,109100,35793.8202,15900.0938,37328.1667,15650,70359.4749,94049.5868,162602.331
2018-03-27,35800,43075.4268,32637.3626,27117.6903,109000,36078.6517,15719.4109,37142.4544,15500,69478.7582,93388.4298,166111.7338
2018-03-28,35200,42641.0527,32912.0879,26814.6994,110400,36648.3146,15674.2402,36678.1737,15350,68989.4712,94628.0992,164551.9992
2018-03-29,35000,43075.4268,33406.5934,26663.2039,109500,35888.764,15448.3866,36213.8931,15250,69478.7582,95041.3223,161432.5301
2018-03-30,34600,43944.1749,33186.8132,26284.4652,113500,35793.8202,15900.0938,36213.8931,15500,68989.4712,96859.5041,158313.0609
2018-04-02,36200,44523.3403,32417.5824,27117.6903,114600,36268.5393,15719.4109,37885.3035,15800,72414.4804,101652.8926,155739.4988
2018-04-03,36300,44306.1533,32142.8571,27799.42,113000,37502.809,15764.5816,39185.2894,15700,72708.0526,101074.3802,151060.295
2018-04-04,35900,44668.1316,32417.5824,27647.9245,110000,37312.9213,15764.5816,38906.721,15600,71925.1934,105371.9008,155973.459
2018-04-05,35600,45609.2754,32307.6923,27799.42,109500,37170.5056,15809.7523,38906.721,15700,71925.1934,108264.4628,153867.8173
2018-04-06,35700,45392.0884,33186.8132,27723.6722,106800,37455.3371,16306.6303,38906.721,16100,71925.1934,109421.4876,154569.6979
2018-04-09,37700,45898.8581,33406.5934,27875.1677,107000,37360.3933,16306.6303,41135.2683,16400,72218.7656,111487.6033,154257.7509
2018-04-10,37300,46622.8149,33406.5934,27685.7984,105000,37882.5843,16035.6059,40392.4192,16200,72903.7674,108264.4628,153633.8571
2018-04-11,35700,45609.2754,33241.7582,26663.2039,98000,36553.3708,15493.5573,38813.8649,15650,69674.473,104132.2314,152853.9898
2018-04-12,35700,46043.6495,33901.0989,26360.213,102000,36648.3146,15629.0695,38999.5771,15600,69380.9008,104958.6777,153087.95
2018-04-13,34200,44885.3187,33626.3736,25072.5014,102500,36221.0674,15945.2645,38349.5842,15450,66445.1786,105454.5455,152620.0296
2018-04-16,34000,44233.7576,33021.978,25451.2401,104300,35603.9326,16261.4596,38442.4403,15500,64488.0305,106363.6364,148174.786
2018-04-17,34800,44885.3187,32802.1978,26132.9697,104000,36173.5955,16848.6789,38999.5771,15800,65564.462,107438.0165,143885.5159
2018-04-18,33550,44885.3187,32417.5824,25489.114,100000,36078.6517,16442.1424,38535.2965,15500,63411.5991,107355.3719,146225.1178
2018-04-19,31600,43944.1749,31318.6813,24163.5285,93000,35319.1011,16216.2888,37699.5912,15000,59693.0176,99917.3554,146225.1178
2018-04-20,33500,44378.5489,32307.6923,24883.1321,96200,35698.8764,16713.1668,38999.5771,15450,62628.7398,101652.8926,145055.3169
2018-04-23,31200,41989.4917,30549.4505,23178.8079,95000,34274.7191,16080.7767,36306.7492,14400,58323.0139,101818.1818,142247.7946
2018-04-24,30350,40831.1608,30769.2308,23140.9341,95800,34179.7753,16080.7767,34728.1949,14150,58714.4436,104958.6777,140376.1131
2018-04-26,28250,39817.6214,29395.6044,21588.1054,89200,32803.0899,15764.5816,32313.9353,13350,56953.0103,104958.6777,141155.9804
2018-04-27,29300,41265.5349,29560.4396,22648.5738,91800,34084.8315,16351.801,33428.209,13850,58714.4436,104132.2314,144275.4496
2018-05-02,27250,41265.5349,29890.1099,22194.0873,93400,33989.8876,16622.8253,32313.9353,13300,56953.0103,103305.7851,143885.5159
2018-05-03,29000,41989.4917,29835.1648,22913.6909,92000,34084.8315,16667.996,32499.6476,13700,58323.0139,101652.8926,144275.4496
2018-05-04,28500,42568.6571,29670.3297,23254.5557,91500,33800.0,16487.3132,31803.2266,13450,57735.8695,102892.562,143495.5823
2018-05-07,30450,43147.8225,30769.2308,24390.7718,96500,34607.0225,16396.9717,33799.6335,13950,60769.4491,102975.2066,148174.786
2018-05-08,30400,42713.4484,31318.6813,23860.5376,97000,34559.5506,15809.7523,33242.4967,13650,59693.0176,102396.6942,144353.4363
