,DTYYYYMMDD,BMP,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KDC,MBB,MSN,MWG,NVL,PLX,PNJ,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VJC,VNM,VPB,VRE
114,20180815,47.82,26.3,148.37,25.2,101.26,16.93,37.41,90.42,22.39,28.85,9.68,31.84,21.0,91.5,85.56,65.2,60.36,72.72,32.71,42.9,202.86,15.45,27.86,11.4,59.3,101.9,145.66,124.68,26.5,31.56
115,20180814,47.55,26.4,153.22,25.3,103.32,17.21,37.83,96.32,23.23,29.62,9.86,31.84,21.5,93.5,86.81,65.4,63.05,74.93,33.23,43.95,201.9,15.0,28.79,11.6,61.45,103.3,150.94,124.37,27.2,32.03
116,20180813,46.49,26.2,151.28,25.75,104.69,16.69,37.11,98.03,23.05,29.46,10.05,31.51,21.95,90.9,84.23,64.5,63.91,71.62,32.33,42.95,201.9,14.73,29.25,11.8,62.43,102.8,150.55,122.8,27.15,31.88
117,20180810,47.37,26.0,147.4,24.25,100.29,16.88,36.81,93.94,23.28,28.46,9.41,31.94,20.96,89.0,85.11,65.0,61.41,70.52,32.33,41.5,200.93,14.73,28.14,11.25,62.14,104.2,148.98,123.66,26.8,31.88
118,20180809,48.08,26.0,147.4,24.05,98.23,17.17,36.55,93.46,23.46,28.12,9.41,31.65,20.87,89.9,84.38,63.0,60.45,70.52,32.18,41.0,199.97,14.54,27.49,11.3,59.99,104.2,146.83,123.5,26.9,32.51
119,20180808,48.35,26.3,144.77,23.95,99.8,17.36,36.3,93.27,22.65,28.23,9.41,30.8,21.0,90.0,84.01,62.9,60.55,67.95,32.75,41.3,192.28,14.82,27.44,11.35,60.77,108.8,144.19,122.32,26.6,33.42
120,20180807,48.88,26.2,145.33,23.05,99.8,17.36,35.83,89.46,22.56,27.81,9.46,30.75,20.55,90.0,81.87,62.3,60.16,66.92,31.33,41.45,191.32,14.77,26.88,11.15,60.18,110.3,143.61,120.36,26.15,33.3
121,20180806,49.41,26.35,146.93,22.85,99.8,17.5,36.08,91.46,22.56,27.81,9.5,30.98,20.6,87.4,81.87,61.8,61.41,67.94,31.8,41.5,191.32,14.82,26.56,11.15,57.73,111.5,144.59,125.78,26.15,33.3
122,20180803,49.06,25.6,151.16,22.85,97.84,17.12,36.38,89.08,22.92,27.92,9.86,30.84,20.82,85.0,82.98,62.0,60.16,69.39,32.28,41.95,192.19,15.0,26.98,11.05,57.25,111.5,144.68,127.12,26.6,32.91
123,20180802,50.03,25.5,149.28,22.95,97.25,17.21,36.47,86.61,22.92,28.65,10.05,30.84,20.69,84.2,83.93,61.5,59.3,69.39,33.23,42.0,196.13,14.82,27.25,11.05,57.73,106.7,142.73,129.8,26.55,31.76
124,20180801,50.3,25.3,145.99,23.2,97.25,17.26,35.87,84.42,22.97,28.92,10.23,30.66,20.82,84.2,83.79,62.0,58.91,68.3,32.75,42.55,197.09,15.0,26.93,11.3,57.34,106.5,139.8,131.29,26.8,32.27
125,20180731,50.47,25.2,142.61,23.6,98.23,17.5,36.55,83.56,23.46,28.73,10.23,30.66,21.14,84.2,86.15,62.0,58.15,70.12,33.51,42.6,197.57,15.18,26.84,11.45,57.25,106.4,141.16,132.31,27.1,32.19
126,20180730,51.01,25.2,140.45,23.85,97.84,17.17,36.98,82.71,23.32,28.5,10.68,31.34,21.18,81.4,85.56,60.6,55.74,70.41,32.75,42.5,198.82,15.27,26.56,11.5,56.07,106.4,141.26,132.55,27.3,31.56
127,20180727,49.23,25.0,138.01,23.4,96.67,16.88,36.98,80.71,21.81,28.69,10.0,30.8,20.73,81.3,83.93,61.0,54.49,67.94,32.28,42.5,199.01,14.86,25.91,11.2,55.29,106.4,134.42,132.79,26.4,31.08
128,20180726,48.79,24.65,136.23,23.0,96.09,17.02,36.34,79.09,21.4,28.08,9.82,29.89,20.28,81.0,81.13,60.1,53.82,65.39,32.18,42.55,199.01,14.73,25.72,11.25,55.48,106.0,133.83,134.91,26.2,31.8
129,20180725,48.53,26.5,138.48,22.8,95.89,17.17,36.21,79.66,21.4,27.31,9.91,30.61,19.83,81.0,81.5,57.7,54.69,66.85,31.9,43.0,199.01,14.73,24.61,11.2,54.11,104.4,132.95,133.65,26.3,32.51
130,20180724,48.88,27.5,136.13,23.55,95.89,16.88,36.04,80.71,21.89,27.23,10.14,30.61,20.37,80.5,82.9,57.0,54.78,67.64,31.85,44.55,201.9,14.36,25.44,11.4,55.78,104.5,134.52,133.65,26.8,33.03
131,20180723,48.97,27.65,138.11,23.6,96.86,16.88,35.87,80.52,21.89,28.42,10.0,29.98,20.6,79.1,84.01,57.5,54.97,69.75,32.28,43.1,202.38,13.82,26.14,11.75,55.39,104.0,136.86,133.73,27.5,33.18
