lambda,markovitz_sqrt,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.425,-34570.44868819267,0.0008239511163388607,0.21944370019280904,0.11733023153644367,0.1775892690694396,0.0007839794053608452,0.0005226021575526257,0.2021449055742623,0.0005227058622930744,0.2804138399004376,0.0004248151850636432
0.43,-30307.02294717255,0.0010405593146795074,0.2148859126793524,0.1178563626473322,0.18183672976635126,0.0010156294468922108,0.001007407085599902,0.20232790185710248,0.0010156293702377694,0.27806472712381225,0.0009491407086401713
0.435,-26324.01829988254,0.0008572447360863139,0.21214932488269653,0.11842603712305964,0.18582675440582253,0.0007142505036516237,5.8083605194851914e-05,0.2052577298297332,0.0007142487211634959,0.2759383112126983,5.801497989319506e-05
0.44,-21681.758324126666,0.005945912470449706,0.20617799291048888,0.11367267004183228,0.18940413692275773,0.0034759082773894697,0.001413232449803716,0.20568869143958854,0.0014472944433045244,0.2714144209831706,0.0013597400612152494
0.445,-18034.636663511017,0.0006825354238792253,0.20392196979819685,0.12049147700343915,0.1937407355869579,0.0006652094631934508,0.00032114883557890635,0.20786405355155185,0.0006424706788027099,0.2714905742966983,0.00017982536170326458
0.45,-13582.309527012143,0.007592864807040445,0.2009382936428588,0.11550513891299935,0.19561323353676344,0.0009382274057804882,0.0008705953529270561,0.20809822496729855,0.0008705988930944644,0.26874037971165804,0.0008324427695807509
0.455,-9389.83282219566,0.0038900107536672594,0.19612075312573,0.1177670567224408,0.1982486666738434,0.0038900008440807547,0.0009810610995154726,0.20899372084719897,0.002270149464641494,0.2668578925622153,0.0009806879066670672
0.46,-5576.918294815464,0.0017250834752320164,0.19331570182209265,0.1220076887301566,0.2035648340093467,0.0012588111811938972,0.0006587564862020964,0.21118363307692545,0.0007484077060824153,0.2652740967566693,0.0002629867560989174
0.465,-1385.2668813427174,0.0030299576286122714,0.19046424794007635,0.1217673781499949,0.20495156817893967,0.0019355723118758368,0.0004972488476790224,0.21214190064047114,0.0010918661516311015,0.2637187440521344,0.0004015160985869758
0.47,2803.6720355771317,0.005180607845416504,0.18593626261690885,0.1214236433727695,0.2091808461323644,0.0014974143087046964,0.0012853957998651914,0.2128152581867477,0.0012853958071054148,0.2612471755910996,0.00014800033901743564
0.475,6695.097904786508,0.000920894755063484,0.18571394484313955,0.12320657884579812,0.2132080068419532,0.0009208947551709287,0.00037658951458885637,0.21469165825054165,0.00039491707611423064,0.2602015094285303,0.00036500568909942016
0.48,11312.145339435116,0.010179499192949566,0.17571673498369805,0.12137469581258192,0.21387499999589196,0.0020036436429434023,0.0018309457809684692,0.2145048054299356,0.002003583995866016,0.25668019205805204,0.0018308991071136265
0.485,15124.490255686796,0.004048642247549975,0.1818626458204022,0.11834629719659302,0.21762950912463705,0.0014299086016468846,0.001415723346039278,0.21633651999378087,0.0014157233469313634,0.2565234888268332,0.000991541495585702
0.49,19089.722659999337,0.003027026284136845,0.1804876248900368,0.118940076917161,0.2202822798731393,0.003000205774990161,0.00022773823566669493,0.21805703250662464,0.00022773817312554028,0.2555231900311706,0.00022708731394892567
0.495,23018.955292870407,0.00012764887873623038,0.16567572430920946,0.13170611889240025,0.228348410512947,0.00012634404941135326,0.00012585010310850816,0.21851275103710185,9.285233008540236e-05,0.2551914476217172,9.285226528351592e-05
0.5,27287.28221612786,0.005697697222553809,0.17042866826892375,0.12524348469618893,0.2251848266258721,0.0014598583498414762,0.00039289055883912966,0.21939041322387307,0.00023273009109208424,0.2517367150381655,0.00023271592465175323
0.505,31381.810564840736,0.0017930405329322878,0.16895510672979772,0.125265735467129,0.2289296635109964,0.001792990501760504,0.001792448147539041,0.2197337425330713,0.0012989375130458426,0.25035193242336623,8.640264036109617e-05
0.51,35670.01538338013,0.0066426979935941,0.16573106296328352,0.12358398664229935,0.22709922402218924,0.0036436576077558775,0.0022493071962063566,0.22059547323807144,0.0017154289185972314,0.24812624113474305,0.0006129202832591482
0.515,39472.384347570965,0.002482366391818985,0.16407772778506546,0.12661003822336278,0.2340211175981419,0.00248236639228787,0.0001961892484155731,0.22187026694443687,0.00019618815283315845,0.2478675513100495,0.00019618795359073853
0.52,43511.75732420762,0.0008633884098308433,0.16246119544631815,0.12826948005482686,0.23657522180924215,0.0005477665310604846,0.0005471841374158207,0.22289722624502853,0.0004989460153849757,0.2468406453354049,0.0004989460154871357
0.525,47535.0116376459,0.00029490300103741224,0.16164368412519706,0.12753197910540828,0.2395478200514043,0.00029476731420818825,0.00026377426263497284,0.22422761575589034,0.0002637695163276052,0.2458552282075898,7.645866029991982e-05
0.53,51978.589051992356,0.0035331072594308732,0.15576415128127755,0.12512508841839054,0.239038467318184,0.0035329641706044225,0.003252823574793061,0.22275568285408848,0.002170747526283177,0.24265627035960585,0.002170697237341771
0.535,55837.989193184,0.004983762517107461,0.15304474885454986,0.12785275545263486,0.24230400779565994,0.00441354299959188,0.00022930560056566246,0.2244347832053667,0.0002289160417434085,0.2422792625495309,0.00022891498325021718
0.54,59971.9321883245,0.004430087739980078,0.1503250818548787,0.12833532151367974,0.24417520349118346,0.003214577146785173,0.0015044588247487293,0.2248632380808456,0.0013266262677952725,0.2408201788233359,0.0010052262567686195
0.545,63939.399676844114,0.0034999696635386523,0.14936711903660366,0.1296415077903449,0.2467391103859617,0.0026293204006929694,0.0006109472132149191,0.22630892689274396,0.0005862635891941649,0.2400306248171441,0.0005862102105617348
0.55,67913.04385889848,0.0005177180458817335,0.15850153994890148,0.12195834585992882,0.24999052698242585,0.0005093656990466649,0.00036411588332599463,0.22845232918066666,0.0003182645926833064,0.23908496604892945,0.00030282775821071267
0.555,72030.68153390365,0.0018607954729403238,0.14606736681924648,0.1302920764193467,0.2510133732748263,0.0018607921468699726,0.0018432427397172247,0.2280089427439388,0.0006875769219900476,0.2381297398332392,0.00023609362788359325
0.56,76161.789164791,0.003165717197052507,0.15250239747874658,0.11902534526910324,0.2530242372768986,0.002925836077477528,0.0027694136769938157,0.22837347345200715,0.0007140364233845341,0.23678548851535494,0.000714054632981456
0.565,80458.32306926273,0.012686544936308143,0.14216453778836094,0.11875111721949386,0.25115127531899123,0.007372167742739681,0.00783658243475262,0.22657667648741936,0.0007933756657987817,0.2314056865678729,0.0012620358382606945
0.57,84183.14611755639,0.0069584439131235186,0.1412940821889072,0.13044525297455348,0.2562298705304025,0.00022723690276996934,0.0002272373385952689,0.22998617166642446,0.0002225440022051541,0.23418651594644235,0.00022264453657385293
0.575,88264.98083585693,0.0014658342195704274,0.1393034144616802,0.13106194337771804,0.25785736673815823,0.0014541330999422698,0.004424416848279683,0.2299177434507948,0.000641285131746666,0.23295773633802144,0.0009161263340874404
0.58,92300.31869422186,0.003344584695001396,0.13677906735306225,0.13124338051843149,0.25923867168128595,0.0032989233673279025,0.0033446638496127923,0.2304384809108737,0.00035597878663827607,0.23160007817488354,0.000356170662882206
0.585,96384.0579913941,0.002613193455099084,0.13547333221001834,0.1311101975554641,0.2610486456572504,0.0026022440459585647,0.002613385668965325,0.2309808422524784,0.0011699250802160556,0.23098082386593966,0.0014074102086110507
0.59,100477.5075556114,0.006929803659580373,0.13023590654340475,0.12835603269374407,0.25995101671975035,0.005071766883579693,0.010584815937158728,0.2293659744025857,0.0009519056845148108,0.22730312295728095,0.0012496545184004215
0.595,104536.8737068603,0.011359966647645223,0.127813463482897,0.12423830600719454,0.2583762314260227,0.004059623112943956,0.020800218345450813,0.22783145747847874,0.0008548736326453925,0.22341846160781134,0.0012473982589104756
0.6,108414.05135198547,0.004577464856831936,0.1270249854115032,0.1286563219806575,0.2615093259094808,0.001197254962920464,0.02424002468247124,0.22905233364861724,5.3580027824162406e-05,0.22361972221912926,6.898630056393751e-05
0.605,112508.05648986352,0.005284551455424666,0.12463336657663715,0.12819611699274094,0.2631688862083399,0.0052926077669697685,0.01812139157622239,0.2293470287612621,0.0010456003095168065,0.22298443967641,0.0019260106764760867
0.61,116394.69236697578,0.004428682206078622,0.121412493036873,0.12607231089808807,0.2610799142543936,0.004429055084869639,0.036285383314580234,0.22707264667645216,0.00022206501346307025,0.21877053704373498,0.0002269124714667021
0.615,120716.45403904855,0.009661587112201834,0.11895944977802428,0.12164186297830902,0.2615792402922637,0.013880511030830458,0.018303714517217032,0.22760701223438826,0.004084058455306055,0.2192812282830776,0.005001335318380722
0.62,124259.39646222394,0.0010714056217987515,0.11619611850118212,0.12445803782924007,0.2599259246623276,0.0010947612292501042,0.059487765765668874,0.22415179586343148,0.00016477085834475918,0.2132812532839128,0.00016816638484486754
0.625,128163.94535992082,0.00040640778013115934,0.11331642375512364,0.1232794928445142,0.25958892943950324,0.003368515895818604,0.06580175637420352,0.22307980502494398,3.535466976715049e-05,0.2110878245351073,3.548968088813238e-05
0.63,132107.06636115164,0.00480191930048746,0.108086887661718,0.11869753426161095,0.25616389545839063,0.010327562511044313,0.07242122389740756,0.22017399103500088,0.0003301062587586206,0.20741650764898445,0.0015803719665981
0.635,135950.49107434019,0.0014649299624951274,0.10568477106018903,0.11822385030045203,0.2562627679397217,0.012203623645526752,0.08098442043005043,0.21899177857869692,0.0003686022189374821,0.20544307898710748,0.000372176876823472
0.64,139913.05563552186,0.007526972176062335,0.10414596022003067,0.114165612572645,0.2541692898847088,0.0077823589011347455,0.08640318428832185,0.2181028273260557,0.0023902657260976064,0.20292326191774976,0.002390266987194657
0.645,143696.50831627802,0.0070131190033721974,0.10092910972468193,0.11330648961158166,0.2535254358964545,0.009422943530363544,0.09538978208741412,0.21646299005277253,0.0003858267662956612,0.2000064351918036,0.0035578681352610437
0.65,147477.94350575338,0.004581510063823665,0.09915532409564187,0.11309241034206137,0.2534769946049378,0.010076253831972371,0.10366311011201183,0.2157723171144825,0.0002947423194910659,0.19812851329933187,0.001758824216246106
0.655,151269.63678958314,0.006605467664743949,0.09523221887601767,0.11100473140906328,0.2519814313716129,0.014629798393864428,0.10947347131591048,0.21371710407953415,0.0005555145251891022,0.1959700666616666,0.0008301957023986393
