Date,CTG,FPT,HPG,MBB,MSN,REE,SBT,SSI,STB,VCB,VIC,VNM
11/1/2018,22850,36622.1469,30461.5385,19380.0589,82000,29337.6404,18700.6785,26803.4188,12200,54513.8122,95500,109286.228
10/31/2018,23400,36665.8487,30961.5385,19740.6181,83000,29907.3034,18700.6785,27425.641,12500,55108.5083,97200,111007.271
10/30/2018,22200,35835.5137,29769.2308,19244.8492,78000,29195.2247,18610.337,26324.7863,11950,53720.884,96600,112154.6329
10/29/2018,22100,35835.5137,29884.6154,19154.7093,76500,29859.8315,18881.3614,26229.0598,12000,52432.3757,97200,114736.1974
10/26/2018,22500,35660.7063,29923.0769,18974.4297,76500,29907.3034,18565.1663,26372.6496,12300,53027.0718,96400,116170.3998
10/25/2018,23000,35879.2155,30000,18929.3598,77500,30382.0225,18610.337,26803.4188,12550,54315.5801,96800,114736.1974
10/24/2018,23200,36534.7432,30153.8462,18974.4297,75000,31094.1011,18700.6785,27090.5983,12600,55009.3923,98800,117222.1483
10/23/2018,23650,36884.358,30384.6154,19289.9191,77500,31521.3483,18610.337,27760.6838,12550,55306.7403,99000,118082.6698
10/22/2018,24450,37714.693,30846.1538,19019.4996,79200,32280.8989,18384.4834,28717.9487,12950,56595.2486,99100,120281.7802
10/19/2018,24700,37583.5875,31346.1538,18929.3598,81000,32091.0112,18519.9956,28861.5385,13450,57189.9448,99100,121237.9152
10/18/2018,24850,38108.0097,31538.4615,19064.5695,80200,32565.7303,18294.142,29100.8547,13500,57487.2928,99100,120473.0072
10/17/2018,25300,38108.0097,31538.4615,19515.2686,81000,33230.3371,18610.337,29483.7607,13550,58676.6851,99000,121333.5287
10/16/2018,25150,37802.0967,31346.1538,19605.4084,78600,32613.2022,18474.8249,29052.9915,13600,58676.6851,98600,120473.0072
10/15/2018,24750,37583.5875,31038.4615,19199.7792,78500,32091.0112,18294.142,29005.1282,12950,58577.5691,95500,120186.1667
10/12/2018,25400,38282.817,31384.6154,19650.4783,81300,32992.9775,18474.8249,29627.3504,13050,59370.4972,96000,122863.3447
10/11/2018,24600,37321.3764,30692.3077,19154.7093,78600,32280.8989,18068.2884,29052.9915,12500,57189.9448,93000,121429.1422
10/10/2018,26450,39593.8724,31846.1538,20506.8065,84500,34701.9663,18881.3614,31206.8376,13400,61154.5856,96600,124297.5472
10/9/2018,26700,39069.4503,31538.4615,20777.2259,88000,35129.2135,18610.337,31254.7009,13550,61154.5856,96600,125158.0686
10/8/2018,26850,39331.6613,31692.3077,21408.2046,89800,35081.7416,18429.6542,31158.9744,13850,61055.4696,96600,127165.9521
10/5/2018,27100,39856.0835,31884.6154,21363.1347,91000,35176.6854,18429.6542,31206.8376,13800,61551.0497,98500,129269.449
10/4/2018,27700,40074.5927,31846.1538,21633.5541,93900,35081.7416,18565.1663,31876.9231,13850,61650.1657,100600,130894.8785
10/3/2018,27500,39768.6798,31769.2308,20822.2958,93200,34654.4944,18791.0199,30967.5214,13850,61650.1657,102200,130894.8785
10/2/2018,27100,39593.8724,31769.2308,20642.0162,94000,34274.7191,18565.1663,30688.953,13900,61650.1657,102000,130990.492
10/1/2018,27050,40205.6983,32615.3846,20822.2958,93900,34654.4944,18610.337,30828.2372,13850,61160.8787,98500,130321.1975
9/28/2018,27550,40467.9093,32538.4615,20822.2958,92800,35034.2697,19152.3857,31106.8056,13500,61650.1657,98300,131277.3325
9/27/2018,27600,40380.5056,31961.5385,20732.156,92500,35176.6854,19378.2393,31199.6617,12650,62041.5954,98600,132424.6945
9/26/2018,27650,40249.4001,31538.4615,20732.156,93500,35319.1011,19423.41,30642.5249,12700,62433.025,99000,130512.4245
9/25/2018,27800,40118.2946,31730.7692,20642.0162,94400,34369.6629,19287.8979,30596.0968,12650,63020.1694,99500,130894.8785
9/24/2018,28000,40293.102,31769.2308,20912.4356,94500,34844.382,19423.41,30781.8091,12550,63803.0287,99600,130990.492
9/21/2018,28100,40118.2946,31769.2308,20687.0861,91000,34179.7753,18971.7028,30549.6688,12700,63215.8842,98600,131755.4
9/20/2018,27450,40118.2946,31461.5385,20371.5968,92500,34369.6629,18926.5321,30271.1003,12650,63020.1694,98500,130034.357
9/19/2018,26800,39724.978,30500,20191.3171,91200,33705.0562,18881.3614,29946.1039,12550,61943.738,98600,131755.4
9/18/2018,26900,39156.854,30346.1538,19920.8977,90100,33705.0562,18429.6542,29713.9635,12400,61943.738,99600,131946.627
9/17/2018,26600,38545.0281,30346.1538,19920.8977,91600,33230.3371,18429.6542,29063.9706,11850,61552.3083,99000,130034.357
9/14/2018,26950,38938.3447,30384.6154,20371.5968,91600,33847.4719,18519.9956,29806.8197,12000,62628.7398,101000,127165.9521
9/13/2018,26650,37933.2023,30576.9231,20551.8764,92400,33515.1685,18248.9713,29528.2513,12050,61552.3083,100300,126305.4306
9/12/2018,26500,37627.2894,30384.6154,20506.8065,92600,33515.1685,17977.9469,29435.3951,12100,61258.7361,101400,126592.2711
9/11/2018,26950,37714.693,30769.2308,20732.156,92500,33230.3371,17797.2641,29899.6758,11800,61650.1657,101200,126209.8171
9/10/2018,26200,37190.2709,30153.8462,20416.6667,91500,32708.1461,17842.4348,29063.9706,11750,60671.5917,99300,122002.8232
9/7/2018,26500,37583.5875,30538.4615,20596.9463,95000,33135.3933,17977.9469,29249.6829,11300,60671.5917,97200,121524.7557
9/6/2018,25900,37015.4635,29730.7692,20236.387,94800,32660.6742,17661.7519,28692.546,11050,59008.0158,98000,116744.0808
9/5/2018,26050,37845.7986,29692.3077,20506.8065,93000,33040.4494,16984.1911,28692.546,11100,59301.588,101500,119994.9397
9/4/2018,25900,38545.0281,30000,20822.2958,94000,33610.1124,16893.8496,28506.8338,11250,59693.0176,102100,123261.7343
8/31/2018,27150,38632.4318,30730.7692,21363.1347,95000,33989.8876,17164.874,29342.539,11350,61160.8787,103400,123261.7343
8/30/2018,27600,38588.73,30500,21723.6939,97000,34654.4944,17210.0447,29946.1039,11500,62433.025,103400,123104.4123
8/29/2018,27000,38632.4318,30461.5385,21408.2046,91000,33989.8876,17300.3861,29621.1074,11400,61748.0232,103000,123969.683
8/28/2018,27250,38632.4318,30692.3077,21543.4143,91400,34179.7753,17164.874,29435.3951,11500,62628.7398,104200,125306.9194
8/27/2018,27200,38807.2392,29961.5385,21543.4143,91200,34559.5506,17435.8983,28646.118,11400,61748.0232,104200,126093.529
8/24/2018,26100,38850.941,29500,21182.855,90600,34559.5506,17842.4348,28042.5531,11300,60671.5917,104000,127588.0874
8/23/2018,26100,38807.2392,29307.6923,21137.7851,91200,34559.5506,17345.5569,28367.5496,11400,61258.7361,104600,128453.358
8/22/2018,26250,38501.3263,29230.7692,21092.7152,92000,33420.2247,17345.5569,28042.5531,11450,60573.7343,103600,128217.3751
8/21/2018,26500,38195.4133,28846.1538,21137.7851,90300,32708.1461,17345.5569,28413.9776,11200,61356.5935,103100,128217.3751
8/20/2018,25700,38195.4133,28653.8462,20642.0162,89900,32423.3146,16893.8496,27067.5637,11150,60084.4473,102600,125936.2071
8/17/2018,26000,38020.606,29000,21092.7152,89600,32565.7303,16577.6546,27578.2724,11200,60671.5917,102300,124677.6317
8/16/2018,26150,37583.5875,28846.1538,21363.1347,90000,33135.3933,15900.0938,27671.1285,11400,59301.588,102100,124756.2926
8/15/2018,25200,37408.7801,28846.1538,21002.5754,91500,32708.1461,15358.0451,27856.8408,11400,59301.588,101900,124677.6317
8/14/2018,25300,37835.821,29615.3846,21498.3444,93500,33230.3371,14906.3379,28785.4022,11600,61454.4509,103300,124362.9878
8/13/2018,25750,37109.8515,29461.5385,21949.0434,90900,32328.3708,14635.3136,29249.6829,11800,62433.025,102800,122789.7685
8/10/2018,24250,36810.9229,28461.5385,20957.5055,89000,32328.3708,14635.3136,28135.4092,11250,62139.4528,104200,123655.0391
8/9/2018,24050,36554.6984,28115.3846,20867.3657,89900,32185.9551,14454.6307,27485.4163,11300,59986.5898,104200,123497.7172
8/8/2018,23950,36298.4739,28230.7692,21002.5754,90000,32755.618,14725.655,27438.9882,11350,60769.4491,108800,122317.8027
8/7/2018,23050,35828.7289,27807.6923,20551.8764,90000,31331.4607,14680.4843,26881.8514,11150,60182.3047,110300,120351.2785
8/6/2018,22850,36084.9534,27807.6923,20596.9463,87400,31806.1798,14725.655,26556.8549,11150,57735.8695,111500,125778.8852
8/3/2018,22850,36383.882,27923.0769,20822.2958,85000,32280.8989,14906.3379,26974.7075,11050,57246.5825,111500,127116.1216
8/2/2018,22950,36469.2902,28653.8462,20687.0861,84200,33230.3371,14725.655,27253.2759,11050,57735.8695,106700,129790.5945
8/1/2018,23200,35871.433,28923.0769,20822.2958,84200,32755.618,14906.3379,26928.2795,11300,57344.4399,106500,131285.1528
7/31/2018,23600,36554.6984,28730.7692,21137.7851,84200,33515.1685,15087.0208,26835.4233,11450,57246.5825,106400,132307.7454
7/30/2018,23850,36981.7393,28500,21182.855,81400,32755.618,15177.3622,26556.8549,11500,56072.2936,106400,132543.7283
7/27/2018,23400,36981.7393,28692.3077,20732.156,81300,32280.8989,14770.8258,25906.862,11200,55289.4344,106400,132779.7112
7/26/2018,23000,36341.1779,28076.9231,20281.457,81000,32185.9551,14635.3136,25721.1497,11250,55485.1492,106000,134903.5573
7/25/2018,22800,36213.0657,27307.6923,19830.7579,81000,31901.1236,14635.3136,24606.876,11200,54115.1455,104400,133644.9818
7/24/2018,23550,36042.2493,27230.7692,20371.5968,80500,31853.6517,14273.9478,25442.5813,11400,55778.7214,104500,133644.9818
7/23/2018,23600,35871.433,28423.0769,20596.9463,79100,32280.8989,13731.8992,26139.0023,11750,55387.2918,104000,133723.6428
7/20/2018,24700,35529.8003,28230.7692,21002.5754,79100,31046.6292,13280.192,27067.5637,11000,55583.0066,103600,133330.338
7/19/2018,24400,36298.4739,28615.3846,20371.5968,79100,31711.236,13641.5577,26835.4233,11000,55583.0066,105000,134116.9476
7/18/2018,24900,36640.1066,28615.3846,20822.2958,76000,31141.573,13641.5577,27113.9917,11200,56268.0084,105000,132937.0331
7/17/2018,24000,35786.0248,27769.2308,20146.2472,74500,29147.7528,13686.7285,25814.0058,10750,54604.4325,104000,132071.7625
7/16/2018,22800,34931.9431,27307.6923,19289.9191,74200,28815.4494,13777.0699,25349.7251,10500,53723.7159,102500,132150.4235
7/13/2018,22600,34675.7186,27384.6154,18749.0802,74900,28673.0337,13686.7285,25489.0093,10450,53625.8585,103000,130813.187
7/12/2018,21800,33138.3714,25961.5385,18208.2414,74000,28150.8427,13596.387,24235.4515,10150,51277.2807,103000,132386.4064
