lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.75,73540.94321983252,0.03356289858043242,0.0013449392074511082,0.02698021771078289,0.19408814037593364,0.05865006121486782,0.2993062269786765,0.15926299890984957,0.0012334954796028865,0.11537940655143429,0.11019161499096816
0.755,74040.74254923494,0.02994329707379681,0.0020441733494184723,0.02799871456948457,0.1943130788779455,0.058816900380847165,0.29973872890363573,0.15923145802599792,0.0013721200668789292,0.11562695670521793,0.11091457204677671
0.76,74546.13159313286,0.03875351259021715,0.003709624258168011,0.0261568942141709,0.19851948371013883,0.06208352627679542,0.30281388766444123,0.16114382403324817,0.000787699830697402,0.11668024548541153,0.08935130193671074
0.765,75030.45022279766,0.03406980371024329,0.003911056895978601,0.025876451925607346,0.19365900310966283,0.05791841482653902,0.29945311750214787,0.15939100164235745,0.000834479950954399,0.11489666181518556,0.10999000862132466
0.77,75518.80368695766,0.03558408753876736,0.00014243084559675026,0.027189739995877777,0.1942248429576559,0.05788294654454063,0.29937738802762187,0.1594407970993731,6.241588148276659e-05,0.11520842683262002,0.11088692427646338
0.775,76022.51691038173,0.0351869242693139,0.002604884587004315,0.024052292838041247,0.1938287463239965,0.058636356024718235,0.2994588048044371,0.15930163684623214,0.0006093937705261323,0.11511076943218704,0.11121019110354297
0.78,76548.3861062086,0.03533867060542927,0.006039191606670924,0.023973700613135855,0.19274569551214105,0.06059506095766261,0.2988759807481341,0.15886984935944654,0.0031364978522492094,0.11420173826990358,0.10622361447522487
0.785,77026.62754632397,0.03402243107812348,0.0029760068306311353,0.026069143347126976,0.1935690913933947,0.05834200574349486,0.29942409700347156,0.15924254266183158,0.0015765265613338392,0.11490415386606584,0.10987400151452573
0.79,77513.65041076305,0.03361277971524664,0.002242077476482728,0.02815217224566192,0.19410024731781414,0.05910418959828083,0.2995365457791328,0.15934444059066727,0.0005585388214332572,0.11503379906538738,0.10831520938989386
0.795,78019.00790268352,0.03468673236243008,0.002014481779139484,0.024342099888484195,0.1940034744543785,0.05912379878067824,0.29994852838965336,0.15916992550304918,0.0013614549650137052,0.11540956824373175,0.10993993563344129
0.8,78527.37801707974,0.03367585302722331,0.003136495148547535,0.025868060513583813,0.19347013798570573,0.057793805008859916,0.2997788578527653,0.15909205874050225,0.0024002552979907822,0.11484024856959574,0.10994422785522406
