lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.75,221214.73284104237,0.023682403554907992,0.0568295620038785,0.08345325112535544,0.23432970499824154,0.037636260701370994,0.1975887737294436,0.1938600137697582,0.0011797205416927282,0.16355403354147643,0.007886276033875553
0.755,224752.42750102945,0.026645602059884976,0.05512224848250343,0.08383540563082731,0.23475021751206931,0.03596543806421061,0.20215374966490773,0.19389046694782816,0.00020828089578541777,0.1625077405315865,0.004920850210394932
0.76,228401.09183463926,0.019078373994417544,0.0527682317856631,0.08043933430473821,0.233093813722025,0.04690893767122923,0.20399190685065993,0.191316131524142,0.00171222649242975,0.16166436550680793,0.00902667814788802
0.765,231920.59513435687,0.024742626872689643,0.05141292695836737,0.07825941031901261,0.23073669062242236,0.04040155329050313,0.20649065675905082,0.19069058126577965,0.00024286708404608898,0.15918056655225737,0.017842120275871412
0.77,235497.84643030507,0.02692595771585668,0.05061755900807841,0.07841556265280297,0.23110606917645876,0.04212195288070934,0.21053400117672658,0.19054486866917794,0.001405577510658359,0.1584233522233072,0.009905098986223644
0.775,239064.90510468587,0.023964896249568716,0.04679837106167869,0.07742449309687352,0.23036231070184585,0.04456522348488503,0.2132558967031339,0.18913808822216305,0.001631235412580956,0.15753969379922766,0.015319791268043456
0.78,242568.6419297381,0.027131129308129085,0.04747204407120713,0.07681710143552023,0.22992149532391565,0.04438439877486818,0.21689485094475705,0.18902073175135856,0.0008896468128759867,0.15612731776805022,0.01134128380931587
0.785,246090.18432396505,0.027382488546993725,0.046305114799107684,0.07561612532009772,0.22913098715892236,0.045213390041345926,0.21994058187210372,0.18826005278708707,0.0005650600813049187,0.15488333164226872,0.012702867750767155
0.79,249823.42927622452,0.02648033968106412,0.051458449489953935,0.0743286096664017,0.22859252740277247,0.02791115640026638,0.2263955253372541,0.18933628816682482,0.0038536753748502767,0.15398405628011202,0.017659372200499946
0.795,253114.51458956292,0.028536328629555487,0.04355648208231084,0.0734113184566871,0.22762732136671449,0.04656044742832033,0.22569238720842982,0.18679475845216112,3.463658884395907e-05,0.15254971353158361,0.015236606255394464
0.8,256628.26144025646,0.0282244509254108,0.041684877763381686,0.0709018389543911,0.22574920341973162,0.04672999440850693,0.22748898190258812,0.18544077273577583,0.0001934908163044277,0.1510835722886276,0.02250281678528281
0.805,260137.36939329928,0.028270689012383426,0.041996520655370656,0.07106906165895784,0.22581492888981636,0.0476401079119674,0.2309764285086815,0.18522600125620223,0.0002458914737565284,0.1501717754844718,0.018588595148392974
0.81,263725.2163213297,0.0282572656641644,0.036989019246706285,0.06838715519842453,0.22366161974374515,0.047309147931351006,0.23198437117849047,0.18344895346572135,0.0026522302094568614,0.14905410090347235,0.02825613645846856
0.8150000000000001,267130.6842708212,0.03031241330736452,0.03716835032814269,0.07064530742919548,0.22535276478231137,0.04971572604839308,0.23686729946293028,0.1840187096061961,0.00016439780340884812,0.14846953987954598,0.017285491352510743
0.8200000000000001,270675.15135738585,0.02516316485131545,0.037527226645498145,0.06330285643427766,0.22115697370265236,0.04779032926796727,0.23717496012965622,0.18159178322679245,0.0021569093209334385,0.146615945530036,0.03751985089086885
0.8250000000000001,274087.88598961185,0.03015873933171818,0.03438883877224331,0.06345794175573535,0.22046367165549158,0.0479804911670655,0.23910731571776989,0.181136273992315,0.0008723156446035831,0.14520757302140233,0.03722683894165548
0.8300000000000001,277561.173067466,0.03088457169715944,0.03335923696315995,0.062060168388201775,0.21946015778458677,0.04800099547247649,0.24137025332528686,0.18045369989249557,0.0010689697891531206,0.1440787292877512,0.03926321739972933
0.8350000000000001,281155.15462640935,0.020870452253935183,0.03168622345406468,0.06400047664395331,0.22012681107173462,0.05026805709521417,0.24526334978546852,0.1796172946120529,0.0038123653775402663,0.14425210940063782,0.04010286030539958
