lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.0,-416349.67017595744,0.0002035549004704712,0.4,0.19423798298554631,0.0020586541604363916,7.461425360449438e-05,7.460617728759369e-05,0.002120904630921,0.001155076712878773,0.4,7.460617886450911e-05
0.005,-408823.3778284369,0.0022145438888546863,0.39999999999999997,0.19087890681565498,0.015368903910348963,0.0006759096034233918,0.0003017240821037242,0.020666046881896424,0.0022482182863734694,0.3673440224492463,0.0003017240821038463
0.01,-406335.86711939663,0.0004887975858888606,0.4,0.1751987579931012,0.006098738027786961,0.000245070930897463,0.00014301939679477966,0.017191966161386005,0.0004906304391289266,0.4,0.0001430194650256267
0.015,-402282.9497064055,0.00035248779537679396,0.4,0.18922052759726374,0.003785502062263022,0.0003524795040815514,9.011216517807339e-05,0.0050403164719062445,0.0008061092246620116,0.4,0.00035246517927834146
0.02,-397235.0826037929,0.00018040988388106713,0.4,0.17500754003564112,0.0008375839844057765,0.0001753651282570752,0.00014103705558616146,0.022685329900761705,0.0008316969558800796,0.4,0.00014103705559826126
0.025,-393474.6868877801,0.00021579432254502308,0.4000000000000001,0.19646709579771124,0.0009205184542116304,0.0002157249927491905,7.105108882103857e-05,0.001591939555649361,0.0003337512312224573,0.4,0.00018412455709899102
0.03,-386841.977539958,0.0011129374399099592,0.4,0.15436778283675964,0.012507351179120347,0.0011129236941323998,0.0004630515315842135,0.02827370650845388,0.001116454166647209,0.4,0.0010457926434012561
0.035,-382642.97872760193,0.00016939102270660427,0.4,0.17181462896651423,0.0006779149146080556,0.00016939086858564498,0.00014591908553555235,0.03940208463171266,0.00016941035599103265,0.3872818692857659,0.00016939086858617347
0.04,-378472.6504915543,0.002164468385394002,0.4,0.17961727330560123,0.006263868784759999,0.0014785160887405239,0.0006506187778627556,0.0070101388667337785,0.0021644966325207213,0.4,0.0006506191583944288
0.045,-373605.65960825555,0.001756247975385434,0.4,0.16555212569163913,0.010189498313432861,0.0014786246899764718,0.0001703541012312079,0.01884732506221151,0.0017891316132325338,0.4,0.00021669255289587328
0.05,-370569.0942709628,0.00010082530927328984,0.4,0.1976353353114226,0.000961013958487975,0.00010082494350601554,3.195137416827935e-05,0.0010163957137761244,0.00010633913159855474,0.4000000000000001,4.731425777606487e-05
0.055,-365333.6560796499,0.0005842875361079136,0.4,0.18322208549559357,0.002367655729961572,0.00042165033851157866,0.0002174776377989025,0.012203117905961,0.0005842876758854499,0.4,0.0003994376801887686
