lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.25,1575.4582727109582,0.028468487217528798,0.03938551096323461,0.06845551017034779,0.22404205639913333,0.046963814841102645,0.23102177911239324,0.1840131999814627,0.0016262575094615163,0.14938822705304605,0.026635156752288162
0.255,1630.45968090228,0.028645479662550474,0.032873150623077024,0.06984245543675553,0.2236671460409209,0.04773367078724076,0.23243417189195306,0.18310468246253545,0.0007300942233200527,0.14892779896247094,0.032041349909175246
0.26,1688.6978536066254,0.030887674304479643,0.03777979993885571,0.0671421279941281,0.22365339012447777,0.04953465589815035,0.2356622824626893,0.18327022008248983,0.004771198844358009,0.14822983350203045,0.019068816848340928
0.265,1741.3616587486727,0.02950901103219794,0.03378397307567059,0.06697379424175554,0.22249389272056636,0.04860026076237197,0.2369644461985535,0.182194818384574,0.001174535722537106,0.14709711295484504,0.031208154906927445
0.27,1796.1727921478698,0.028096025807325592,0.03440579477593378,0.06388469268806508,0.22064754410398923,0.048670627025993674,0.237768361851081,0.18110973528905783,0.0005382484380076815,0.14577670893685027,0.039102261083696015
0.275,1852.5412388423326,0.01514840193884889,0.02478578060074623,0.0691846711002456,0.22225798730278884,0.05309617020481824,0.2410134783036769,0.17999026128087464,0.0005750799297912385,0.14732533868599312,0.04662283065221625
0.28,1907.088518942169,0.019587870728297603,0.034241679563338415,0.06601479362260332,0.2207784267170164,0.04841842724552572,0.2427234119677592,0.18035695529344797,0.0008819284972463445,0.1449844723943868,0.042012033970377505
0.28500000000000003,1962.9384717186222,0.03213619284575818,0.03267349182243721,0.059660935576070266,0.21860326543114023,0.04915641313538558,0.24270712234249583,0.17984515135147627,0.0024467801575907143,0.14344170909171192,0.039328938245935655
0.29000000000000004,2018.1309749075149,0.021946057246796775,0.025516558962404786,0.06715419966977446,0.22067278189393638,0.05171343685834747,0.24554980923999414,0.1790917513741674,0.0021555561777380937,0.1444827661688317,0.041717082408008935
0.29500000000000004,2072.0078221189483,0.029672739344595637,0.029701427716528044,0.06048607268073922,0.2179632922651391,0.04972635869098288,0.24569288070439937,0.17872757198304734,0.0012444255840795562,0.14226026354101398,0.04452496748947316
0.30000000000000004,2126.649620800594,0.029978497435521417,0.029924553632697682,0.0594919858010509,0.21749017496923242,0.05010655763275001,0.24730842965480065,0.1784126383743543,0.0008710372561944244,0.14154038664700416,0.04487573859639355
0.30500000000000005,2180.981533751439,0.029949636765347835,0.02901368720536519,0.058696762052014115,0.21681723004607584,0.050423021842367695,0.24842100137857184,0.17786945442382715,0.0001671977255940389,0.14083541111790715,0.047806597442929435
0.31000000000000005,2236.1390241191225,0.030048249555295975,0.028621142608457897,0.05753203004291042,0.21625606081261167,0.05089567508749762,0.24967533700178263,0.1774244375583525,0.0005962948567739006,0.14021964912772533,0.048731123348591754
0.31500000000000006,2292.966292638774,0.029534654395511745,0.026775899913640985,0.057131289523189785,0.2154532867319107,0.0504704904918007,0.25075839070890416,0.1768256891877633,0.003126266118223318,0.13986089143827607,0.050063141490778056
0.32000000000000006,2346.6887859661615,0.029398427354421833,0.026758876221174004,0.05545654593695226,0.21441829309998767,0.05126401091356333,0.25133215836053,0.1761308555839852,0.0018307137256820183,0.138964394683614,0.054445724120089654
0.32500000000000007,2401.115560854005,0.029955426009424944,0.026107892538909785,0.05558507150600918,0.2145584280395053,0.050871148723004696,0.25297244060402957,0.17598890657471447,0.0014877073186098612,0.1386076091627791,0.05386536952301257
0.33000000000000007,2454.800845539001,0.03074865895431372,0.025894432614283123,0.054363638729758974,0.2141660583578086,0.05125742253528603,0.25425132151100255,0.17573657613472582,0.00027710145572063297,0.1378865055426931,0.05541828416440605
0.3350000000000001,2509.6378327598363,0.031134470801332362,0.028368878076576357,0.05310825528140518,0.2132993461453778,0.05164492438196282,0.255382474040828,0.1755641657946423,0.00043061059364723163,0.13687177047613194,0.05419510440809617
0.3400000000000001,2564.133110990723,0.03092355658995915,0.0243234678699404,0.053990352704696494,0.2135027102730355,0.051711322355461366,0.2564763484247952,0.175079758340843,0.00037563027806911077,0.13698264254284348,0.05663421062035627
0.3450000000000001,2618.967025444716,0.031106976334102483,0.02380545868027457,0.05299980365159548,0.21268271627040403,0.051405780198683096,0.25720986494058595,0.17461459014940575,0.0006733299835457166,0.1362911852858323,0.05921029450556947
0.3500000000000001,2673.601436963658,0.030545590340479142,0.02222879407496436,0.052939107081381095,0.21256788894871678,0.05202902333775061,0.25825699480990605,0.17416703332501035,0.0007642958399960524,0.13611281691636062,0.06038845532543416
