lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.0,-1648.9392663969281,0.0003957887296625212,0.4,0.18037794784400532,0.008212984865481035,0.00039578872966442925,0.0003395056267857625,0.008271129381769092,0.0016672156964042694,0.4,0.00033963912623134133
0.005,-1009.9994412489922,0.0021978143890150565,0.4,0.10920741835304008,0.01911557454217383,0.0018888459367390844,0.00027369665557123817,0.06227002831539404,0.003157800375845707,0.3999999999999998,0.0018888214322215651
0.01,-412.6333076694352,0.0005441811989768309,0.2491883345740537,0.11122014666539158,0.15077968615698917,0.00011682992939953593,7.706906987137213e-05,0.188652127935775,0.00010752673106210938,0.2992065710180448,0.00010752672043556263
0.015,150.2703430384402,0.0018398763907315596,0.17629923136385517,0.12470892037209294,0.22153794146046812,0.0008064799775855477,0.0008064740869307435,0.21745612850627458,0.0008062665407301279,0.2549330706350066,0.0008056106663252209
0.02,702.2281299710121,0.0003111408414110868,0.1448608828541505,0.13212551687647114,0.2551844665234619,0.0003110876673192645,0.0003079912422447145,0.2296469921058265,0.00026549268789276845,0.23671352782728428,0.0002729013739384214
0.025,1249.815831899619,0.0019136283416931975,0.11566605711737749,0.12331236098617186,0.25930079809079654,0.003924214204042738,0.055548633313239934,0.22389731457583364,0.0013042721642801739,0.21381419502257984,0.0013185261839847404
0.03,1778.8186311749605,0.0057933724869304,0.0903628959192133,0.10940682859075013,0.2506096480673213,0.02189042737059589,0.1172832117710204,0.2114611670091371,8.338095264678794e-06,0.1931757725943893,8.338095376154859e-06
0.035,2299.0454958228997,0.010198630858566404,0.07572464646356601,0.09857947196626103,0.2439175488007924,0.028984348904763934,0.154595468276853,0.2036273499566377,0.0007453693641881191,0.18016373845153613,0.0034634269568370947
0.04,2813.1745210546915,0.01933780986243661,0.061552908991371516,0.09024458732910831,0.2382223302491624,0.039768684133250735,0.1777429643706022,0.19705853485428712,0.0015133557852336714,0.17106223224299455,0.0034965921815533433
0.045,3322.901089548766,0.0238386047604775,0.05676150042549972,0.08473698533692067,0.23531296504073734,0.040848759429467654,0.19674640539744334,0.19421286810028052,0.0007424564716258889,0.1641628873750532,0.002636567662495267
0.05,3831.8603485856497,0.02620071755965917,0.05118912573572307,0.07972562533912578,0.23133353822933042,0.03682757153544706,0.21055455106185028,0.19106415066939186,0.0017630568206103974,0.15867256019719136,0.01266910285166971
0.055,4338.657423562509,0.028190165810959168,0.04267734012483284,0.07442771387332174,0.22754001688137804,0.04107472020783219,0.2194833547368855,0.18728335353146056,0.002635738857877896,0.15437764531706577,0.022309950658386053
0.06,4841.830816371203,0.02791988171410481,0.04457374854465905,0.06660871260089274,0.22432902865723958,0.04585247454841123,0.22777106222791446,0.18500102439829313,0.0007706940085032965,0.15015121390273173,0.02702215939725078
0.065,5345.323795086058,0.028802164789565984,0.03716622987074311,0.06724230707541852,0.22295151493423496,0.04777731892980185,0.23472679838103833,0.1829538479703406,0.0009882093868742638,0.1477826644500537,0.029608944211928223
0.07,5847.334660880938,0.023812452331772583,0.029904900582287067,0.06850546312793192,0.22235249572370422,0.0498439292673139,0.24100826531053782,0.18100340511709723,0.00011195948842292417,0.14615667549440559,0.03730045355652757
0.075,6352.924199116414,0.007323470809590382,0.03215530349663857,0.06514308551560889,0.22084515441951885,0.054159389039132186,0.24691349284106776,0.17863454476800328,0.0016858854882865907,0.14513132051848124,0.048008353103671166
