lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.5,48668.7804348125,0.0357964603251021,0.0013217990909416106,0.027334288623851767,0.19551687087698605,0.058418680109217636,0.2961265491622798,0.1603547747585133,0.0005922826670135798,0.11697021229413763,0.10756808209195583
0.505,49169.750804442396,0.03394340532328474,0.004628394590028639,0.026524906808377637,0.19512437618180584,0.057864240501730564,0.2964693251330733,0.16041116494119795,0.001067878014899915,0.11664526499080974,0.10732104351479262
0.51,49671.820131674234,0.030302391802959943,0.00773061534352316,0.02878249893751118,0.19482860144856318,0.05690416608080351,0.29688083479899924,0.16039038631727928,0.0015014287000832938,0.11637718596998209,0.1063018906002944
0.515,50165.24195643458,0.03641936110361776,0.009966705854487872,0.025173237032658273,0.19412901885273054,0.05167026577325356,0.29715661043760133,0.16086827954783953,0.0005185838515957262,0.11566343475099185,0.10843450279522342
0.52,50660.931913016124,0.03344338602462412,0.007327396544993849,0.026952757418365985,0.19457862168543594,0.056803616367356834,0.2967621087296275,0.16044810368611184,0.0007304394349969592,0.11600267238743497,0.10695089772105276
0.525,51155.81664290147,0.03723270969031829,0.004876968154269123,0.022743410960624717,0.19482296939356067,0.05800886715747461,0.2966200511552474,0.1603512774123995,0.00033411224641196566,0.11629048720447893,0.10871914662521465
0.53,51652.348093850815,0.0341105642675031,0.0029277749522966068,0.028160675751501118,0.19511616163633,0.05761795155137061,0.29680726058650625,0.16031732296755885,0.0005050235377982781,0.11649985869556558,0.1079374060535688
0.535,52167.22577623052,0.03166714737934878,0.011029832144133656,0.026654138196989335,0.19384796841615876,0.056517635230077044,0.2970757787878597,0.16041212947729575,0.0023437597425735386,0.11527928021943998,0.10517233040612399
0.54,52644.950228690315,0.03475132426272405,0.00025813821142735424,0.029198412494513062,0.19568865360166351,0.058626646153108135,0.2970633643831844,0.16026150060550728,0.0002569964891069813,0.11676049711331658,0.10713446668544932
0.545,53162.22715713501,0.032975571545330214,0.014020447868815282,0.024839066891834054,0.19356456512832806,0.0564766610159659,0.2976315881647229,0.16039612396220249,0.001896833821121659,0.11516119026379916,0.1030379513378801
0.55,53643.305886271315,0.03480268143210938,0.004125488660001898,0.028479747494924667,0.19480511966065003,0.05721559668740525,0.2970424898205769,0.16038577749618138,0.0006631516816215873,0.11606599610267468,0.10641395096385414
0.555,54139.47508365365,0.03710786209771177,0.006123042578989313,0.02160541996580915,0.19451335230594252,0.05809988007500359,0.2971445403478384,0.16030159256339346,0.0001565270259891026,0.11589259115526543,0.10905519188405807
0.56,54635.132125703865,0.03368649051095387,0.006464188547888089,0.026474107933204007,0.19447482370171026,0.05779235778134588,0.297327339792409,0.16024044981255572,0.00010646071887544908,0.11583267649714665,0.10760110470391154
0.5650000000000001,55138.963165616806,0.03626394874697389,0.0069266032238532145,0.01743906602906574,0.19438233466333146,0.05901477787642209,0.29738939067205994,0.16010901776429215,0.00043729688874209315,0.11600125885209238,0.11203630528316753
0.5700000000000001,55649.030953547786,0.03392735049680845,0.0088277557313202,0.025161270954741004,0.1932889820111779,0.05709059831315826,0.2972931253809793,0.16032843912454817,0.00250311948739063,0.11525169360509128,0.10632766489478458
0.5750000000000001,56125.96189359998,0.032437522788383424,0.004678715429983599,0.028552424138244624,0.19478952154482537,0.05808593350827241,0.29760671011164075,0.16009193984142,5.7779158409993954e-05,0.1159956173896973,0.10770383608912369
0.5800000000000001,56629.92460346096,0.03351027085527693,0.002891174031160047,0.026888412664405628,0.19458622787728436,0.05800449411334337,0.29742956432543644,0.1599343314032352,0.0010666950578752,0.11610950207208569,0.10957932759989629
0.5850000000000001,57129.393887458624,0.033125260891999055,0.013681748982106688,0.02116018937647296,0.19333546266818946,0.05719931853156021,0.2977856680625608,0.16031357054781795,0.00017178937237164805,0.11470820165137217,0.1085187899155497
0.5900000000000001,57625.985787160156,0.0378930625047156,0.006704174165522284,0.019409177066312927,0.1938013570330279,0.05672087837640512,0.29753266950936613,0.160163272720416,0.0006374995455223733,0.11552437704194077,0.11161353203677032
0.5950000000000001,58128.86851412841,0.034336704719349354,0.004151931709076205,0.024437730618022,0.19433885220126584,0.05750356707336277,0.297808745944857,0.15990198362949856,0.001861330773220157,0.11601392745920092,0.10964522587214715
0.6000000000000001,58619.38787631097,0.03355342087387012,0.006894987062936449,0.025932537710253955,0.19393974374451498,0.05769600479747137,0.29779572090739964,0.15998873780718897,0.0008019490575904957,0.1154205688508082,0.1079763291879664
0.6050000000000001,59112.08552079675,0.03378275072110914,0.0036872523435847616,0.02737408052062037,0.19456936236067737,0.05803826427046542,0.29791514256084184,0.15995164483101862,0.00042333896325940447,0.11582664776016713,0.10843151566825598
0.6100000000000001,59627.51182917773,0.030042369827499152,0.015175384690966746,0.02167996078517079,0.19295042191422085,0.0596196867831221,0.29793679330563383,0.15982623160025347,0.0012521023087138934,0.11450937065698662,0.10700767812743278
0.6150000000000001,60111.124086141994,0.032631094370545795,0.0010953357082878021,0.028074064640207962,0.19495943388065867,0.05884528306635016,0.29812459817920806,0.15966315140132617,0.0010841843804496802,0.11625896753508325,0.10926388683788155
0.6200000000000001,60618.07633101138,0.03192658466060141,0.0040900036371282695,0.031721586497677194,0.1948850114095235,0.051009192202972536,0.2993599406282528,0.16034856660828348,0.001758411583586356,0.11591879993524853,0.10898190283672456
0.6250000000000001,61111.94201677052,0.03457288463419817,0.003951596942576293,0.024013523787545968,0.19407825987361202,0.05832474613043522,0.2979346858972834,0.15963748815002193,0.0016818007660857834,0.11567111105212877,0.11013390276611142
0.6300000000000001,61603.028752553175,0.033580168381809126,0.0031985443090351427,0.026945708293100036,0.19445166549477821,0.05818298021397835,0.2982039890046393,0.15976138724667768,0.0009890004336311252,0.11578518035818808,0.10890137626416231
0.6350000000000001,62099.892762672236,0.03255829276677244,0.010324003379128671,0.024745032137924238,0.1934150848600233,0.05750720685206051,0.29818603045246306,0.16001820801675282,0.00026591832226418113,0.11471780086909998,0.10826242234351208
0.6400000000000001,62592.66674345705,0.03456410980225982,0.005526368517868312,0.026142213702562343,0.19400734203504838,0.05805965918330593,0.2983032671183185,0.1599223328418015,0.00020405348835960985,0.11530642965488355,0.10796422365559179
0.6450000000000001,63097.517495736676,0.033475085113203816,0.006098285657539393,0.026135477093344427,0.19391329248831815,0.05781149685994031,0.2983741693098678,0.15981022238847725,0.0010838012260929973,0.1151736715936175,0.10812449826959769
0.6500000000000001,63610.76642110988,0.03141485524247894,0.009466119713645096,0.02124017016721556,0.1933757680303827,0.058537359231690345,0.29847394504055813,0.1595839562157392,0.002514016631016587,0.11524481324177384,0.11014899648549895
0.6550000000000001,64084.94228551373,0.03417797599692211,0.00698070970214029,0.02442610108323924,0.19376005575161623,0.057967351169159215,0.29847756031082456,0.15983686757193694,0.00010706924478176238,0.11506302693221339,0.10920328223716672
0.6600000000000001,64580.96382459157,0.033931049813124066,0.00034947209576208536,0.027878471322363863,0.19478581336229106,0.0587511824471952,0.29851295526376215,0.15962549644172563,0.0003467755979942804,0.11596029417558433,0.10985848948019895
0.6650000000000001,65122.29737412523,0.03451954820078884,0.009257023959066479,0.02248145511493712,0.19292601860309,0.05594022860381041,0.29870342860133553,0.15950043324513855,0.00474513334148321,0.11498162564451654,0.10694510468583342
0.6700000000000002,65597.82337843216,0.03439414489615982,0.006798900025521482,0.0242844984734362,0.19341103056468434,0.057508069121757724,0.29852972085441964,0.15957876406773627,0.0025561563542458136,0.11468736695695746,0.10825134868508297
0.6750000000000002,66091.12345595108,0.03297722190625392,0.005908935838796464,0.026844612496478088,0.19383994082725364,0.05771793915670467,0.2987402155101341,0.15960844303559937,0.0021577048656506214,0.11516838218434024,0.10703660417878835
0.6800000000000002,66579.65200566474,0.04030907882128242,0.00265747881101553,0.021006566122332336,0.19251341764502494,0.056557151202953765,0.29830241729262563,0.1599862670634203,0.0009550833917604838,0.11495101343724771,0.11276152621233489
0.6850000000000002,67077.80980415863,0.03155436457064127,0.0063514568176674556,0.02497389249757918,0.19345595426116538,0.05588966579240484,0.29872195031551263,0.1596392788188249,0.0011132408308786048,0.11502173075063436,0.1132784653446913
0.6900000000000002,67569.33008685564,0.03431432340002522,0.0021244563068066958,0.027069173567966245,0.194178509023285,0.05758128193529357,0.2987751730236217,0.15958763534183137,0.0008116891856951659,0.11546692007473112,0.11009083814074358
0.6950000000000002,68073.46423946244,0.032690914197773445,0.010464157365926065,0.023633188781033865,0.19301271031311376,0.05738884294088555,0.2989895300242993,0.15971069204465957,0.0008240212311664135,0.11444874363178484,0.10883719946935913
0.7000000000000002,68571.6624590955,0.03266818706348841,0.00271989004325592,0.02949466928285509,0.19481291422967684,0.05814635436023717,0.2994641486713675,0.1597232528130401,0.001578017322355401,0.11559805031217861,0.10579451590154408
0.7050000000000002,69105.59838467732,0.04129339174860388,0.011934676732110695,0.015032557959173359,0.1893972666212242,0.055540664165937614,0.2986132145493773,0.15970131757797018,0.004008680608121344,0.1135735098269622,0.11090472021051904
0.7100000000000002,69577.36689837174,0.03361789120829357,0.011383943193617258,0.023855824938133804,0.19305156056029124,0.05708045876374994,0.29945047239868533,0.15994768897213685,0.0019512801735974339,0.11423700585433312,0.10542387393716139
0.7150000000000002,70071.99159125783,0.033084941981761706,0.010685295244861108,0.023370756884013,0.19250133177424256,0.05689602044220423,0.29907777316909473,0.15965646991090282,0.0017634149491191943,0.11410539100776959,0.10885860463603007
0.7200000000000002,70562.22220836932,0.03160246541316477,0.008764088182941197,0.02484591167101303,0.19325503633223767,0.057722212876751784,0.29940394588436625,0.15945710658455964,0.0012168677512615284,0.11457766106971526,0.10915470423398925
0.7250000000000002,71073.32603525487,0.03370433079065074,0.013933416166891359,0.023256897010951644,0.1922034109596999,0.05627216636890224,0.2992362128762097,0.15958649506735065,0.0019131008422219892,0.11345183823257717,0.10644213168454335
